© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Renal Cell Carcinoma Signaling	3.99E-01	1.6329931618554523	1.05E-01	FOS,JUN,PAK1,PIK3R1,PIK3R5,RASD1,RRAS,UBD	
nNOS Signaling in Neurons	3.99E-01		1.11E-01	CAPN1,CAPN5,GRIN3B,GRINA,RASD1	
EGF Signaling	4.04E-01	1.6329931618554523	1.09E-01	EGFR,FOS,JUN,MAPK13,PIK3R1,PIK3R5	
PDGF Signaling	4.05E-01	2.1213203435596424	1.05E-01	FOS,INPP5J,JAK3,JUN,PDGFA,PIK3R1,PIK3R5,RASD1,RRAS	
Insulin Receptor Signaling	4.08E-01	-0.6324555320336759	1.01E-01	ACLY,EPM2A,FOXO3,INPP5J,PIK3R1,PIK3R5,PPP1R3C,PRKAG2,PRKAR2B,RASD1,RRAS,SLC2A4,SOCS3,TRIP10	
Systemic Lupus Erythematosus Signaling	4.08E-01		1.00E-01	C6,C8G,CD79B,CD86,FCER1G,FCGR1A,FCGR2A,FOS,HLA-A,IL1B,IL1RN,IL36G,IL6R,JUN,PIK3R1,PIK3R5,RASD1,RRAS	
Pyridoxal 5'-phosphate Salvage Pathway	4.09E-01	0.8164965809277261	1.08E-01	DAPK1,DMPK,MAP3K6,MAP3K8,PAK1,PIM1,PRKAA2	
p70S6K Signaling	4.14E-01	-0.30151134457776363	1.02E-01	CD79B,EGFR,F2RL1,F2RL2,MAPT,NOTUM,PIK3R1,PIK3R5,PPP2R2B,PPP2R5B,RASD1,RRAS,YWHAZ	
Adenine and Adenosine Salvage III	4.17E-01		2.00E-01	ADA	
Arginine Biosynthesis IV	4.17E-01		2.00E-01	GLUD1	
Citrulline-Nitric Oxide Cycle	4.17E-01		2.00E-01	NOS2	
Creatine-phosphate Biosynthesis	4.17E-01		2.00E-01	MAP4K4	
Lysine Degradation V	4.17E-01		2.00E-01	PIPOX	
Proline Biosynthesis II (from Arginine)	4.17E-01		2.00E-01	PYCR1	
Serine Biosynthesis	4.17E-01		2.00E-01	PSAT1	
Tetrapyrrole Biosynthesis II	4.17E-01		2.00E-01	HMBS	
Tyrosine Degradation I	4.17E-01		2.00E-01	GSTZ1	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	4.18E-01		1.25E-01	AGPAT4,LPCAT1,LPCAT4	
Netrin Signaling	4.27E-01	0.3779644730092272	1.09E-01	ABLIM3,CACNA1B,CACNB2,CACNB4,PRKAG2,PRKAR2B,RAC2	
Adenosine Nucleotides Degradation II	4.28E-01		1.43E-01	ADA,NT5E	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	4.28E-01		1.43E-01	MAOB,SMOX	
TGF-β Signaling	4.4E-01	1.414213562373095	1.06E-01	ACVR1B,FOS,INHBC,JUN,MAPK13,RASD1,RRAS,SERPINE1,TFE3,TGIF1	
Leptin Signaling in Obesity	4.48E-01	0.0	1.10E-01	ADCY2,LEPR,NOTUM,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,SOCS3	
Non-Small Cell Lung Cancer Signaling	4.48E-01	0.8164965809277261	1.10E-01	EGFR,FOXO3,PIK3R1,PIK3R5,RARB,RASD1,RASSF1,RRAS	
Cdc42 Signaling	4.62E-01	2.886751345948129	1.04E-01	ARPC1B,CDC42EP5,FCER1G,FOS,HLA-A,ITGA3,ITGA6,ITGB2,JUN,MAPK13,MYL12A,MYL12B,MYL4,MYLK,PAK1	
Apelin Endothelial Signaling Pathway	4.63E-01	0.9045340337332909	1.06E-01	ADCY2,APLNR,FOS,ICAM1,JUN,NFKB2,PIK3R1,PIK3R5,PRKAA2,PRKAG2,RASD1,RRAS	
CD28 Signaling in T Helper Cells	4.63E-01	2.3333333333333335	1.06E-01	ARPC1B,CD86,FCER1G,FOS,HLA-A,IKBKE,JUN,NFKB2,NFKBIA,PAK1,PIK3R1,PIK3R5	
Wnt/Ca+ pathway	4.64E-01	-1.1338934190276817	1.13E-01	FZD1,FZD8,NFKB2,NOTUM,PDE6H,ROR1,WNT5A	
Gαi Signaling	4.67E-01	0.9045340337332909	1.06E-01	ADCY2,APLNR,CXCR2,FPR2,HCAR2,LTB4R,NPR3,PRKAG2,PRKAR2B,RALGDS,RASD1,RRAS,S1PR1	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	4.68E-01	-0.7071067811865475	1.10E-01	FZD1,FZD8,LOX,NFKB2,PYGO1,S100A4,SNAI2,WNT2,WNT5A	
Circadian Rhythm Signaling	4.7E-01		1.25E-01	GRIN3B,GRINA,PER1,PER3	
MIF-mediated Glucocorticoid Regulation	4.7E-01	2.0	1.25E-01	CD14,MIF,NFKB2,NFKBIA	
Fatty Acid Activation	4.7E-01		1.54E-01	ACSL1,ACSL4	
Glycogen Degradation III	4.7E-01		1.54E-01	PGM2,PGM5	
Pregnenolone Biosynthesis	4.7E-01		1.54E-01	CYP26B1,CYP2E1	
CDP-diacylglycerol Biosynthesis I	4.82E-01		1.36E-01	AGPAT4,LPCAT1,LPCAT4	
Tumoricidal Function of Hepatic Natural Killer Cells	4.82E-01		1.36E-01	BAX,FAS,ICAM1	
Small Cell Lung Cancer Signaling	4.84E-01	0.8164965809277261	1.13E-01	CDKN2B,IKBKE,NFKB2,NFKBIA,PIK3R1,PIK3R5,RARB,TRAF4	
BMP signaling pathway	4.86E-01	0.7071067811865475	1.11E-01	BMP5,FST,JUN,MAPK13,NFKB2,PRKAG2,PRKAR2B,RASD1,RRAS	
UVB-Induced MAPK Signaling	4.86E-01	1.6329931618554523	1.18E-01	EGFR,FOS,JUN,MAPK13,PIK3R1,PIK3R5	
Necroptosis Signaling Pathway	4.88E-01	1.2909944487358056	1.06E-01	BIRC3,CAPN1,CAPN5,CYBB,DAPK1,FAS,GLUD1,GLUL,MLKL,NGFR,NLRP3,RIPK3,TNFRSF10A,TNFRSF1A,TNIP1	
Arsenate Detoxification I (Glutaredoxin)	4.95E-01		2.50E-01	AS3MT	
Glutathione Redox Reactions II	4.95E-01		2.50E-01	GSR	
Heme Degradation	4.95E-01		2.50E-01	HMOX1	
Molybdenum Cofactor Biosynthesis	4.95E-01		2.50E-01	MOCS2	
NAD Biosynthesis III	4.95E-01		2.50E-01	NAMPT	
Pyruvate Fermentation to Lactate	4.95E-01		2.50E-01	LDHB	
dTMP De Novo Biosynthesis	4.95E-01		2.50E-01	SHMT1	
Clathrin-mediated Endocytosis Signaling	5.14E-01		1.05E-01	APOA4,APOF,ARPC1B,ARRB2,CLU,FGF1,IGF1,ITGB2,LDLR,LYZ,PDGFA,PIK3R1,PIK3R5,PON1,PROK1,S100A8,SERPINA1,SH3BP4,UBD	
FLT3 Signaling in Hematopoietic Progenitor Cells	5.22E-01	0.7071067811865475	1.14E-01	MAPK13,PIK3R1,PIK3R5,RASD1,RRAS,STAT4,STAT5A,STAT5B,STAT6	
SAPK/JNK Signaling	5.39E-01	0.6324555320336759	1.12E-01	DUSP10,DUSP8,FCER1G,GNA12,JUN,MAP4K4,PIK3R1,PIK3R5,RAC2,RASD1,RRAS	
Intrinsic Prothrombin Activation Pathway	5.43E-01	-0.4472135954999579	1.28E-01	COL5A3,F11,F13A1,F13B,KLKB1	
HGF Signaling	5.56E-01	2.3333333333333335	1.11E-01	ELF3,FOS,ITGA3,ITGA6,ITGB2,JUN,MAP3K6,MAP3K8,PAK1,PIK3R1,PIK3R5,RASD1,RRAS	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.56E-01	1.1338934190276817	1.11E-01	BMP5,FZD1,FZD8,JAK3,LIF,LIFR,PIK3R1,PIK3R5,RASD1,RRAS,SALL4,WNT2,WNT5A	
UVA-Induced MAPK Signaling	5.56E-01	0.4472135954999579	1.13E-01	EGFR,FOS,JUN,MAPK13,NOTUM,PARP3,PIK3R1,PIK3R5,RASD1,RRAS,SMPD3	
Thyroid Cancer Signaling	5.61E-01	1.0	1.17E-01	FOS,IGF1,JUN,NGF,NTRK2,PIK3R1,PIK3R5,RASD1,RRAS	
Agrin Interactions at Neuromuscular Junction	5.65E-01	1.889822365046136	1.19E-01	EGFR,ERBB4,JUN,Nrg1,PAK1,RAC2,RASD1,RRAS	
Glycogen Degradation II	5.71E-01		1.82E-01	PGM2,PGM5	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	5.71E-01		1.82E-01	FDPS,RSAD2	
GP6 Signaling Pathway	5.72E-01	1.386750490563073	1.12E-01	APBB1IP,COL26A1,COL5A2,COL5A3,COL6A2,COL6A6,FCER1G,ITGA2B,LAMA3,LAMA5,LAMB2,PIK3R1,PIK3R5	
B Cell Receptor Signaling	5.77E-01	2.182820625326997	1.08E-01	APBB1IP,BLNK,CD79B,DAPP1,EGR1,FCGR2A,IKBKE,INPP5J,JUN,MAP3K6,MAP3K8,MAPK13,NFKB2,NFKBIA,PIK3R1,PIK3R5,RAC2,RASD1,RRAS	
Ephrin Receptor Signaling	5.79E-01	1.1547005383792517	1.08E-01	ARPC1B,CXCL12,EPHB1,FGF1,GNA12,GNA14,GNA15,GNAT1,GRIN3B,GRINA,ITGA3,ITGA6,ITGB2,MAP4K4,PAK1,PDGFA,PROK1,RAC2,RASD1,RRAS	
NF-κB Activation by Viruses	5.81E-01	1.414213562373095	1.18E-01	IKBKE,ITGA3,ITGA6,NFKB2,NFKBIA,PIK3R1,PIK3R5,RASD1,RRAS	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.9E-01	0.7071067811865475	1.14E-01	ACE,CTSG,F11,HLA-A,HTRA1,MAPT,MME,PRKAG2,PRKAR2B,PRTN3,SERPINA3,TMPRSS2	
Paxillin Signaling	5.9E-01	1.1338934190276817	1.14E-01	ITGA2B,ITGA3,ITGA6,ITGAM,ITGB2,MAPK13,PAK1,PIK3R1,PIK3R5,RASD1,RRAS,TLN2	
B Cell Development	5.96E-01		1.43E-01	CD79B,CD86,HLA-A,SPN	
Inflammasome pathway	5.99E-01		1.58E-01	IL1B,NFKB2,NLRP3	
The Visual Cycle	5.99E-01		1.58E-01	AKR1B10,DHRS9,RDH11	
Biotin-carboxyl Carrier Protein Assembly	6E-01		3.33E-01	ACACB	
D-glucuronate Degradation I	6E-01		3.33E-01	DCXR	
Glutathione Biosynthesis	6E-01		3.33E-01	GCLC	
L-carnitine Biosynthesis	6E-01		3.33E-01	BBOX1	
Methylglyoxal Degradation I	6E-01		3.33E-01	HAGH	
Thymine Degradation	6E-01		3.33E-01	DPYS	
Thyroid Hormone Biosynthesis	6E-01		3.33E-01	CTSD	
Uracil Degradation II (Reductive)	6E-01		3.33E-01	DPYS	
FcγRIIB Signaling in B Lymphocytes	6.02E-01	-0.4472135954999579	1.20E-01	BLNK,CACNA1B,CACNB2,CACNB4,CD79B,PIK3R1,PIK3R5,RASD1,RRAS	
Macropinocytosis Signaling	6.02E-01	1.0	1.20E-01	CD14,ITGB2,NGF,PAK1,PDGFA,PIK3R1,PIK3R5,RASD1,RRAS	
Molecular Mechanisms of Cancer	6.02E-01		1.03E-01	ADCY2,ARHGEF5,ARHGEF9,BAX,BIRC3,BMP5,CDC25A,CDKN2B,FAS,FOS,FZD1,FZD8,GNA12,GNA14,GNA15,GNAT1,ITGA3,ITGA6,ITGB2,JAK3,JUN,MAPK13,NFKB2,NFKBIA,PAK1,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RAC2,RALGDS,RASD1,RHOBTB1,RHOC,RHOU,RHOV,RND2,RRAS,WNT2,WNT5A	
Synaptic Long Term Depression	6.19E-01	-0.6882472016116852	1.09E-01	CACNA1B,CACNB2,CACNB4,GNA12,GNA14,GNA15,GNAT1,GRIA2,GRIA3,GRID1,GUCY2C,IGF1,NOS2,NOTUM,NPR3,PLA2G7,PPP2R2B,PPP2R5B,RASD1,RRAS	
Dopamine Receptor Signaling	6.24E-01		1.22E-01	ADCY2,MAOB,PPP1R1B,PPP1R3C,PPP2R2B,PPP2R5B,PRKAG2,PRKAR2B,SMOX	
Glioblastoma Multiforme Signaling	6.33E-01	0.2581988897471611	1.11E-01	EGFR,FZD1,FZD8,IGF1,NOTUM,PDGFA,PIK3R1,PIK3R5,RAC2,RASD1,RHOBTB1,RHOC,RHOU,RHOV,RND2,RRAS,WNT2,WNT5A	
NGF Signaling	6.41E-01	2.1105794120443453	1.16E-01	BAX,IKBKE,MAP3K6,MAP3K8,NFKB2,NGF,NGFR,PIK3R1,PIK3R5,RASD1,RRAS,SMPD3,TRAF4	
Superpathway of Inositol Phosphate Compounds	6.47E-01	1.091089451179962	1.10E-01	ALPL,CA3,CDC25A,CILP,DUSP1,DUSP10,DUSP28,DUSP5,DUSP8,INPP5J,PAWR,PI4K2B,PIK3R1,PIK3R5,PPFIA2,PPM1H,PPM1K,PPP1R1B,PPP2R5B,SOCS3,SSH3	
Maturity Onset Diabetes of Young (MODY) Signaling	6.48E-01		1.30E-01	APOA4,APOF,APOL2,BLK,FABP2,FOXA2,NFKB2	
Thrombopoietin Signaling	6.58E-01	0.3779644730092272	1.27E-01	FOS,JUN,PIK3R1,PIK3R5,RASD1,RRAS,STAT5A,STAT5B	
D-myo-inositol-5-phosphate Metabolism	6.65E-01	1.212678125181665	1.13E-01	ALPL,CA3,CDC25A,CILP,DUSP1,DUSP10,DUSP28,DUSP5,DUSP8,PAWR,PPFIA2,PPM1H,PPM1K,PPP1R1B,PPP2R5B,SOCS3,SSH3	
Phagosome Maturation	6.67E-01		1.14E-01	ATP6V0A1,ATP6V0E1,CTSD,CTSE,CTSG,Ctsj,CTSZ,CYBB,HLA-A,MPO,NCF1,NCF2,TUBA8,TUBB3,TUBB6,VPS37C	
TWEAK Signaling	6.67E-01	0.4472135954999579	1.43E-01	BIRC3,IKBKE,NFKB2,NFKBIA,TNFRSF12A	
Regulation of Cellular Mechanics by Calpain Protease	6.69E-01	2.23606797749979	1.25E-01	CAPN1,CAPN5,EGFR,ITGA3,ITGA6,ITGB2,RASD1,RRAS,TLN2	
Adipogenesis pathway	6.69E-01		1.15E-01	CEBPB,CEBPD,EGR2,FABP4,FGF1,FGFRL1,FZD1,FZD8,HDAC11,LPIN1,SLC2A4,SREBF1,STAT5B,TNFRSF1A,WNT5A	
Synaptogenesis Signaling Pathway	6.73E-01	1.299867367239363	1.07E-01	ADCY2,ARPC1B,CACNA1B,CACNB4,CDH18,DAB1,EIF4EBP3,EPHB1,FGR,GRIA2,GRIA3,GRIN3B,GRINA,HCK,LRP8,MAPT,NTRK2,PAK1,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RASD1,RELN,RRAS,SHC2,SNCA,STX1B,STXBP2,SYT12,SYT17,SYT9	
Eicosanoid Signaling	6.83E-01	2.23606797749979	1.29E-01	ALOX5,ALOX5AP,DPEP2,FPR2,GGT1,LTB4R,PLA2G7,PTGIR	
Actin Cytoskeleton Signaling	6.89E-01	1.2909944487358056	1.10E-01	ARPC1B,CD14,FGF1,FLNA,GNA12,GSN,ITGA3,ITGA6,ITGB2,LBP,MYH10,MYL12A,MYL12B,MYL4,MYLK,PAK1,PDGFA,PIK3R1,PIK3R5,RAC2,RASD1,RRAS,SSH3,TLN2	
Ephrin B Signaling	6.93E-01	0.3333333333333333	1.27E-01	CAP1,CXCL12,EPHB1,GNA12,GNA14,GNA15,GNAT1,PAK1,RAC2	
Ubiquinol-10 Biosynthesis (Eukaryotic)	6.96E-01		1.76E-01	BCKDHA,CYP26B1,CYP2E1	
Superpathway of Methionine Degradation	7.02E-01	-2.23606797749979	1.47E-01	AHCY,MGMT,MMUT,PCCA,SUOX	
Phospholipase C Signaling	7.03E-01	1.697749375254331	1.09E-01	ADCY2,ARHGEF5,ARHGEF9,BLNK,CD79B,FCER1G,FCGR2A,HDAC11,HMOX1,ITGA3,ITGA6,ITGB2,MYL12A,MYL12B,MYL4,NFKB2,PLD3,Pld6,RAC2,RALGDS,RASD1,RHOBTB1,RHOC,RHOU,RHOV,RND2,RRAS	
CD27 Signaling in Lymphocytes	7.04E-01	2.23606797749979	1.35E-01	FOS,IKBKE,JUN,MAP3K6,MAP3K8,NFKB2,NFKBIA	
Neuropathic Pain Signaling In Dorsal Horn Neurons	7.05E-01	0.0	1.21E-01	FOS,GRIA2,GRIA3,GRIN3B,GRINA,KCNN4,NOTUM,NTRK2,PIK3R1,PIK3R5,PRKAG2,PRKAR2B	
Th1 Pathway	7.17E-01	0.6324555320336759	1.20E-01	CD86,HAVCR2,HLA-A,ICAM1,ICOSLG/LOC102723996,IL18R1,IL6R,ITGB2,JAK3,PIK3R1,PIK3R5,SOCS3,STAT4	
GM-CSF Signaling	7.18E-01	0.8164965809277261	1.29E-01	CSF2RA,CSF2RB,HCK,PIK3R1,PIK3R5,PIM1,RASD1,RRAS,STAT5B	
Endocannabinoid Neuronal Synapse Pathway	7.23E-01	-0.5345224838248488	1.18E-01	ADCY2,CACNA1B,CACNB2,CACNB4,GNA14,GNA15,GRIA2,GRIA3,GRIN3B,GRINA,MAPK13,MGLL,NOTUM,PRKAG2,PRKAR2B	
UVC-Induced MAPK Signaling	7.33E-01	2.4494897427831783	1.37E-01	EGFR,FOS,JUN,MAPK13,RASD1,RRAS,SMPD3	
PI3K Signaling in B Lymphocytes	7.36E-01	1.1547005383792517	1.18E-01	ATF3,BLK,BLNK,CD79B,DAPP1,FOS,FOXO3,IKBKE,JUN,NFKB2,NFKBIA,NOTUM,PIK3R1,PLEKHA4,RASD1,RRAS	
Induction of Apoptosis by HIV1	7.37E-01	0.0	1.33E-01	BAX,BIRC3,FAS,IKBKE,NFKB2,NFKBIA,NGFR,TNFRSF1A	
PCP pathway	7.37E-01	-0.3779644730092272	1.33E-01	CELSR1,FZD1,FZD8,JUN,JUNB,JUND,WNT2,WNT5A	
Pancreatic Adenocarcinoma Signaling	7.37E-01	1.507556722888818	1.21E-01	CDKN2B,CYP2E1,EGFR,HBEGF,HMOX1,JAK3,NFKB2,PIK3R1,PIK3R5,PLD3,Pld6,PROK1,RALGDS	
ERK/MAPK Signaling	7.48E-01	0.47140452079103173	1.13E-01	DUSP1,DUSP9,ELF3,ESR1,FOS,ITGA3,ITGA6,ITGB2,PAK1,PIK3R1,PIK3R5,PPP1R3C,PPP2R2B,PPP2R5B,PRKAG2,PRKAR2B,RAC2,RAPGEF4,RASD1,RRAS,TLN2,YWHAZ	
Renin-Angiotensin Signaling	7.49E-01	2.3094010767585034	1.21E-01	ACE,ADCY2,FOS,JUN,MAPK13,NFKB2,PAK1,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RASD1,RRAS,SHC2	
Parkinson's Signaling	7.52E-01		1.88E-01	MAPK13,SEPTIN5,SNCA	
4-hydroxyproline Degradation I	7.56E-01		5.00E-01	ALDH4A1	
Adenine and Adenosine Salvage I	7.56E-01		5.00E-01	APRT	
Alanine Biosynthesis II	7.56E-01		5.00E-01	GPT2	
Alanine Degradation III	7.56E-01		5.00E-01	GPT2	
Fatty Acid Biosynthesis Initiation II	7.56E-01		5.00E-01	FASN	
GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	7.56E-01		5.00E-01	GMDS	
Glycine Biosynthesis I	7.56E-01		5.00E-01	SHMT1	
Glycine Biosynthesis III	7.56E-01		5.00E-01	AGXT2	
Glycine Degradation (Creatine Biosynthesis)	7.56E-01		5.00E-01	GAMT	
L-glutamine Biosynthesis II (tRNA-dependent)	7.56E-01		5.00E-01	GATB	
Palmitate Biosynthesis I (Animals)	7.56E-01		5.00E-01	FASN	
Sulfate Activation for Sulfonation	7.56E-01		5.00E-01	PAPSS2	
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	7.56E-01		5.00E-01	UGDH	
β-alanine Degradation I	7.56E-01		5.00E-01	ALDH6A1	
Gluconeogenesis I	7.59E-01	2.0	1.67E-01	ALDOA,ALDOC,ENO2,GPI	
IL-22 Signaling	7.59E-01	-1.0	1.67E-01	MAPK13,SOCS3,STAT5A,STAT5B	
P2Y Purigenic Receptor Signaling Pathway	7.61E-01	1.386750490563073	1.20E-01	ADCY2,FOS,ITGA2B,JUN,NFKB2,NOTUM,P2RY2,P2RY4,P2RY6,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RASD1,RRAS	
B Cell Activating Factor Signaling	7.67E-01	2.0	1.46E-01	FOS,IKBKE,JUN,MAPK13,NFKB2,NFKBIA	
IL-15 Production	7.69E-01	1.6035674514745464	1.22E-01	BLK,CSF2RA,DDR1,DYRK3,EGFR,EPHB1,ERBB4,FES,FGR,HCK,JAK3,NFKB2,NTRK2,ROR1	
IL-7 Signaling Pathway	7.76E-01	-0.7071067811865475	1.30E-01	BAX,CDC25A,FOXO3,JAK3,JUN,MAPK13,PIK3R1,PIK3R5,STAT5A,STAT5B	
Estrogen Receptor Signaling	7.82E-01	1.8593393604027364	1.09E-01	ADCY2,ARG2,EGFR,ESR1,FOS,FOXO3,GNA12,GNA14,GNA15,GNAT1,IGF1,JAK3,JUN,LEPR,MMP12,MMP15,MMP19,MMP2,MMP23B,MMP8,MYL12A,MYL12B,MYL4,NFKB2,NOTUM,PAK1,PIK3R1,PIK3R5,PRKAA2,PRKAG2,PRKAR2B,PROK1,RASD1,RRAS,SHC2	
T Cell Exhaustion Signaling Pathway	7.85E-01	1.386750490563073	1.19E-01	ACVR1B,BATF,CD86,FCER1G,FOS,HAVCR2,HLA-A,IL6R,JAK3,JUN,PIK3R1,PIK3R5,PPP2R2B,PPP2R5B,RASD1,RRAS,STAT4	
Mineralocorticoid Biosynthesis	7.87E-01		2.50E-01	HSD3B1,HSD3B7	
Superoxide Radicals Degradation	7.87E-01		2.50E-01	CAT,SOD3	
Amyloid Processing	7.96E-01	1.0	1.43E-01	BACE2,CAPN1,CAPN5,MAPK13,MAPT,PRKAG2,PRKAR2B	
Phototransduction Pathway	7.96E-01		1.43E-01	GNAT1,GNGT2,GUCA2B,GUCY2C,PDE6H,PRKAG2,PRKAR2B	
Neuregulin Signaling	8.01E-01	0.3333333333333333	1.25E-01	AREG,DCN,EGFR,ERBB4,HBEGF,ITGA3,ITGA6,ITGB2,PIK3R1,RASD1,RRAS,STAT5A,STAT5B	
April Mediated Signaling	8.03E-01	1.6329931618554523	1.50E-01	FOS,IKBKE,JUN,MAPK13,NFKB2,NFKBIA	
Apelin Cardiac Fibroblast Signaling Pathway	8.08E-01	-1.0	1.74E-01	APLNR,PRKAA2,PRKAG2,SERPINE1	
Histidine Degradation VI	8.13E-01		2.00E-01	CYP26B1,CYP2E1,UROC1	
p53 Signaling	8.15E-01	-0.3333333333333333	1.28E-01	BAX,COQ8A,DRAM1,FAS,GADD45B,JUN,PERP,PIK3R1,PIK3R5,SNAI2,TNFRSF10A,WT1	
FAK Signaling	8.23E-01		1.26E-01	ARHGAP26,CAPN1,CAPN5,EGFR,ITGA3,ITGA6,ITGB2,PAK1,PIK3R1,PIK3R5,RASD1,RRAS,TLN2	
Neurotrophin/TRK Signaling	8.28E-01	1.1338934190276817	1.33E-01	FOS,JUN,NGF,NGFR,NTRK2,PIK3R1,PIK3R5,RASD1,RRAS,SORCS1	
p38 MAPK Signaling	8.32E-01	1.386750490563073	1.25E-01	DUSP1,DUSP10,FAS,IL18RAP,IL1B,IL1R2,IL1RAP,IL1RN,IL36G,IRAK3,MAPK13,MAPKAPK3,MAPT,TNFRSF1A	
PAK Signaling	8.46E-01	1.8973665961010275	1.27E-01	ITGA3,ITGA6,ITGB2,MYL12A,MYL12B,MYL4,MYLK,PAK1,PDGFA,PIK3R1,PIK3R5,RASD1,RRAS	
3-phosphoinositide Degradation	8.52E-01	1.4142135623730951	1.21E-01	ALPL,CA3,CDC25A,CILP,DUSP1,DUSP10,DUSP28,DUSP5,DUSP8,INPP5J,PAWR,PPFIA2,PPM1H,PPM1K,PPP1R1B,PPP2R5B,SOCS3,SSH3	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	8.54E-01	1.889822365046136	1.14E-01	BLNK,CD79B,CLCF1,FCGR2A,FGR,FOS,FOXO3,HCK,IL1B,IL36G,IL6R,INPP5J,ISG20,JUN,LIF,LILRB3,LILRB4,MAP4K4,NFKB2,PIK3R1,PIK3R5,RAC2,RASD1,RRAS,SHC2,STING1,TNFSF14,TRAF4	
IL-17 Signaling	8.55E-01		1.35E-01	CEBPB,CXCL10,JUN,MAPK13,NOS2,PIK3R1,PIK3R5,RASD1,RRAS,TIMP1	
Natural Killer Cell Signaling	8.56E-01	3.5777087639996634	1.19E-01	COL5A3,FCER1G,FCGR2A,HLA-A,Hspa1b,IL18R1,IL18RAP,JAK3,MAP3K6,MAP3K8,MAPK13,NFKB2,PAK1,PIK3R1,PIK3R5,RAC2,RASD1,RRAS,STAT4,TYROBP	
G Beta Gamma Signaling	8.63E-01	1.0690449676496976	1.25E-01	ADCY2,CACNA1B,CACNB2,CACNB4,EGFR,GNA12,GNA14,GNA15,GNAT1,HBEGF,PAK1,PRKAG2,PRKAR2B,RASD1,RRAS	
PKCθ Signaling in T Lymphocytes	8.71E-01	2.6726124191242437	1.22E-01	CACNA1B,CACNB2,CACNB4,CD86,FCER1G,FOS,HLA-A,IKBKE,JUN,MAP3K6,MAP3K8,NFKB2,NFKBIA,PIK3R1,PIK3R5,RAC2,RASD1,RRAS	
Breast Cancer Regulation by Stathmin1	8.76E-01	0.7745966692414834	1.06E-01	ACKR4,ADGRA3,ADGRF1,ADGRG2,ADRA1B,APLNR,ARHGEF5,ARHGEF9,C5AR1,CCR1,CCR2,CCRL2,CELSR1,CMKLR1,CX3CR1,CXCR6,F2RL1,F2RL2,FPR2,FZD1,FZD8,GPR12,GPR155,GPR35,GPR39,GPR55,GPR84,GPRC5A,HCAR2,IGF1,JUN,LPAR3,LTB4R,MAS1,MMP2,NFKB2,P2RY2,P2RY4,P2RY6,PAK1,PIK3R1,PIK3R5,PPP1R3C,PPP2R2B,PPP2R5B,PRKAG2,PRKAR2B,PROK1,PTGIR,RAC2,RASD1,RRAS,S1PR1,SLC52A2,SSTR2,SUCNR1,TUBA8,TUBB3,TUBB6,VIPR1	
Choline Biosynthesis III	8.81E-01		2.14E-01	HMOX1,PLD3,Pld6	
Colanic Acid Building Blocks Biosynthesis	8.81E-01		2.14E-01	GMDS,GPI,UGDH	
Docosahexaenoic Acid (DHA) Signaling	8.81E-01		1.58E-01	BAX,BIK,IL1B,PIK3R1,PIK3R5,PNPLA2	
