category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	quantity	Quantity of phagocytes	2.73e-27	0	0.576	0.335	ADA, NLRP12, CX3CR1, TNFRSF1A, SELL, JAK3, PIK3R5, FCER1G, ITGB2, ARRB2, F630028O10Rik, BIRC3, ATF3, LILRB4, CXCR6, HDC, CD300A, SNAI2, GHR, TYROBP, F11, ZFP36, TNFRSF11A, FES, TLR2, HBEGF, Mbl1, C6, PLAC8, LCN2, NFKB2, PRTN3, AHR, CLU, GSN, CXCR2, STAT6, CDKN2B, STAT5B, FAS, SERPINB1, ITGAM, CLEC4E, LGALS1, HPSE, CCR1, SOCS3, PGLYRP1, ADM2, CAMP, CCL3L3, LEPR, TREM2, IRAK3, CX3CL1, GCNT1, Pde4d, STAT5A, DCN, NT5E, STEAP4, CCR2, TRPM4, S100A8, Ccl7, STAT4, SREBF1, CLEC4D, S100A9, PLAT, ACAT1, Ccl2, STX11, Mt1, SALL4, NQO2, CSF3R, NFKBIA, SLC7A2, SPIB, CMKLR1, IL1RN, SLC33A1, C5AR1, RELB, HSD11B1, NGF, CD86, PTGIR, BACH2, CHST3, IL1B, CXCL10, FPR2, LIF, SPI1, ACKR4, HAVCR2, FCGR2A, ANXA1, SLFN12L, SELP, SELPLG, MMP8, IL36G, CYBB, CLEC7A, CLCF1, HCK, F2RL1, PLSCR1, ITGA3, MMP12, DDR1, BCL3, LITAF, SELE, PIK3R1, CLDN1, IL15RA, RAC2, SDC1, ARHGEF5, LDLR, BIK, MAPT, MIF, TAL1, CD5L, GDF15, ADAM8, RAPGEF4, MPO, ABCA1, SLPI, CXCL2, GATA1, HMOX1, CLEC4A, NOS2, NGFR, TNFAIP3, SERPINA1, LGALS3, TIMP1, Ly6a (includes others), ICAM1	147
Cellular Movement	cell movement	Cell movement	8.53e-27	Increased	7.385	5.724	CELSR1, NLRP12, ERBB4, MMP2, TNFRSF1A, RASGRP4, NEDD9, SELL, JAK3, TNFRSF9, ALDOA, ARRB2, FOS, LILRB4, ZYX, HSD3B7, HP, Aldh1a7, SNAI2, HAO1, FES, NFKBIZ, CD9, HCAR2, S1PR1, HBEGF, LILRB3, TNFRSF21, Nrg1, SLC1A2, MAS1, CTSG, ST3GAL3, LYZ, AHR, PRTN3, BARX2, GSN, CXCR2, MASP2, ELANE, FST, TNFRSF12A, BAX, IFI16, FAS, PLTP, CD207, SERPINB1, ITGAM, LGALS1, WNT5A, HPSE, PGLYRP1, RHOC, LEPR, CCL3L3, VIL1, TREM2, EPHB1, SPRY4, CX3CL1, GREB1, BTG2, DMTN, GPSM3, TPI1, PER1, DCN, LPAR3, GSDMD, RELN, TRPM4, S100A8, Ccl7, PHLDA2, MYL12A, PLAT, CES1, GGT5, LTB4R, RIPK3, PROCR, PDGFA, RORC, RARB, Ccl2, CD300LF, MAD2L2, CSF3R, DNAH1, SCAI, CARD9, LRP8, LMNA, SAA1, IL1RN, ATG3, RELB, Ceacam10, CAT, FUT8, ANO6, PTGIR, ESR1, EGFR, FABP4, CXCL10, FPR2, ACKR4, TMEM30A, OLR1, Pvr, SOD3, SELP, RASSF1, SELPLG, PPP1R15A, MYO9B, CYBB, CLEC7A, GLUL, F2RL1, FGF1, TNFAIP8L2, ABCB4, MICOS10-NBL1/NBL1, BCL3, F13A1, LITAF, IL15RA, LAMA5, DNAH11, CCN4, MAPT, Spg20, RGS18, SPN, CD5L, CEBPD, SGPL1, CSF2RB, SLPI, MYO1F, PDK4, TNFRSF10A, Irgm1, CYP1A2, RGS1, PRKAA2, TNIP1, Ly6a (includes others), ICAM1, SERPING1, SUCNR1, CARMIL1, ADA, LOX, CX3CR1, NCF1, PPARA, PIK3R5, FGR, FCER1G, PLA2G7, ITGB2, LHX6, AJUBA, ALOX5, TRPM2, STING1, HDC, TYROBP, WIF1, FOXA2, FERMT3, CYP1B1, TLR2, Saa3, MACIR, NCF4, TREM3, LCN2, IGF1, RHBDF2, SAMSN1, NFKB2, BATF, MYLK, GRHL2, STAT6, STAT5B, Retnlg, JUNB, JUN, FGFBP1, CXCL12, CLEC4E, Orm1 (includes others), SOCS3, CCR1, IL6R, FASN, LBP, P2RY4, CAMP, S100A4, WT1, KLF4, AQP3, RGS16, LCP1, VIM, TKT, CHI3L1, GCNT1, DUSP1, Pde4d, STAT5A, P2RY2, IL1RAP, IGFBP3, APBB1IP, CEBPE, TREML2, NTRK2, MARCO, NT5E, UGDH, CCR2, MAP4K4, MBP, SREBF1, KLF6, PAK1, CAPN1, NR4A1, PLAUR, S100A9, CAP1, GFAP, HLA-A, PROK2, MAPK13, RRAS, Ccl6, ALOX5AP, ECSCR, NQO2, CCL20, HTRA1, NFKBIA, ANGPTL4, SKAP2, CMKLR1, CD63, C5AR1, ADAMTS13, ASCL1, MAP3K8, RGCC, VWF, NGF, FHL3, CD86, GPI, BACH2, IL1B, SPON2, FLNA, CD14, CLEC5A, ANXA2, IGFBP5, LIF, SPI1, CYP26B1, FCGR2A, ANXA1, SLFN12L, MMP8, SERPINE1, CXCL3, PGLYRP2, THRB, ABHD2, TNFAIP8, IKBKE, TTR, FLOT1, DAB1, HCK, PEX7, ITGA3, MMP12, GNA12, DDR1, SELE, PIK3R1, RAC2, ARHGAP22, OLFM4, PLET1, MYO1G, SDC1, ARHGEF5, MRTFA, CAPG, LDLR, TREM1, CTSE, IL17RB, TRAF4, MIF, GDF15, ADAM8, MPO, TNFSF14, ITGA6, SEMA3B, MYH10, CXCL2, GATA1, HMOX1, CCRL2, NOS2, NGFR, TNFAIP3, NLRP3, SERPINA1, EGR2, MCAM, LGALS3, Rhox5, TIMP1, SIGLEC9	336
Cellular Function and Maintenance	function	Function of blood cells	1.39e-26	0	1.818	1.477	ADA, TAGLN2, CX3CR1, LGMN, TNFRSF1A, FCGR1A, RASGRP4, NEDD9, SELL, JAK3, FGR, FCER1G, TNFRSF9, ITGB2, ARRB2, ADD2, BIRC3, ATF3, ARHGDIB, FOS, LILRB4, TRPM2, CD300A, TYROBP, ZFP36, CD9, FES, NFKBIZ, TLR2, S1PR1, IFI30, LILRB3, TNFRSF21, ANG, AMPD3, LCN2, RHBDF2, SAMSN1, NFKB2, AHR, GSN, IL18RAP, CXCR2, STAT6, CLEC6A, BAX, STAT5B, ITGAM, ENTPD1, CLEC4E, LGALS1, CCR1, NPC2, LEPR, S100A4, RGS16, SEPTIN5, IRAK3, CX3CL1, LCP1, ITGA2B, CHI3L1, DUSP1, STAT5A, ARHGDIA, MARCO, NT5E, CCR2, TRPM4, STAT4, F2RL2, PAK1, CAPN1, PLAUR, PLAT, EGR1, HLA-A, LTB4R, DUSP5, RIPK3, CEBPB, RORC, P2RY6, RHCE/RHD, Ccl2, STX11, Mt1, CD300LF, TRIB3, UBD, GADD45B, CARD9, NFKBIA, CMKLR1, ADAMTS13, RELB, ANO6, VWF, CD86, PTGIR, IL18R1, IL1B, CD14, CXCL10, FPR2, ACKR4, PIM1, PAWR, PSTPIP1, RHAG, HAVCR2, FCGR2A, SELP, MYO9B, GPR84, CYBB, CLEC7A, FLOT1, HCK, TNFAIP8L2, MMP12, BCL3, SELE, PIK3R1, IL15RA, MYO1G, IDO2, ARHGEF5, CAPG, BIK, TRAF4, Cmah, SPN, TRIP10, TNFSF14, CSF2RB, ABCA1, ICOSLG/LOC102723996, SLPI, GPNMB, KCNN4, LECT2, TPCN1, CCRL2, PCTP, NOS2, RGS1, NLRP3, LGALS3, ICAM1, SIGLEC9, SUCNR1	152
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	recruitment	Recruitment of granulocytes	3.5e-26	Increased	4.076	3.067	Ccl2, CX3CR1, ALOX5AP, MMP2, TNFRSF1A, SELL, PIK3R5, FGR, ITGB2, CARD9, ARRB2, ALOX5, TRPM2, IL1RN, C5AR1, MAP3K8, VWF, HAO1, FERMT3, CYP1B1, TLR2, S1PR1, NCF4, SPON2, IL1B, CD14, CXCL10, FPR2, CLEC5A, CTSG, FCGR2A, OLR1, ANXA1, LYZ, AHR, PRTN3, SELP, GSN, CXCR2, STAT6, ELANE, SERPINE1, CXCL3, FLOT1, CXCL12, ITGAM, HCK, CLEC4E, F2RL1, CCR1, HPSE, LGALS1, MMP12, BCL3, PIK3R1, SELE, CAMP, IL15RA, CCL3L3, CHI3L1, GCNT1, Pde4d, STAT5A, P2RY2, TREML2, CCR2, Ccl7, S100A8, GDF15, MPO, CSF2RB, CXCL2, CCRL2, GGT5, LTB4R, CYP1A2, NLRP3, LGALS3, ICAM1, SIGLEC9	80
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cell movement	Cell movement of neutrophils	3.53e-26	Increased	5.2	4.253	NLRP12, TNFRSF1A, RASGRP4, NCF1, JAK3, SELL, PIK3R5, FGR, FCER1G, ITGB2, ALOX5, TRPM2, FOXA2, FERMT3, NFKBIZ, TLR2, TREM3, LILRB3, CTSG, LCN2, PRTN3, GSN, MASP2, CXCR2, STAT6, MYLK, ELANE, FAS, PLTP, SERPINB1, CXCL12, ITGAM, CCR1, SOCS3, LGALS1, IL6R, LBP, P2RY4, CCL3L3, CX3CL1, DUSP1, Pde4d, GCNT1, CEBPE, TREML2, CCR2, S100A8, S100A9, LTB4R, RIPK3, MAPK13, PROCR, Ccl2, ALOX5AP, CD300LF, NQO2, CSF3R, NFKBIA, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, VWF, EGFR, IL1B, FABP4, CXCL10, FPR2, ANXA2, SPI1, FCGR2A, ANXA1, SELP, SELPLG, MMP8, CXCL3, CYBB, FLOT1, HCK, TNFAIP8L2, MMP12, SELE, RAC2, CAPG, TREM1, SPN, GDF15, ITGA6, MYO1F, CXCL2, PDK4, NOS2, TNFAIP3, NLRP3, SERPINA1, LGALS3, TIMP1, TNIP1, ICAM1	100
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell movement	Cell movement of granulocytes	4.26e-26	Increased	5.262	4.335	NLRP12, TNFRSF1A, RASGRP4, NCF1, SELL, JAK3, PIK3R5, FGR, PLA2G7, FCER1G, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, TRPM2, FOXA2, NFKBIZ, FERMT3, TLR2, TREM3, LILRB3, CTSG, LCN2, PRTN3, GSN, CXCR2, MASP2, MYLK, STAT6, ELANE, FAS, PLTP, SERPINB1, ITGAM, CXCL12, LGALS1, CCR1, SOCS3, IL6R, LBP, P2RY4, CCL3L3, CX3CL1, DUSP1, GCNT1, Pde4d, CEBPE, TREML2, CCR2, S100A8, NR4A1, PLAUR, S100A9, LTB4R, RIPK3, MAPK13, PROCR, Ccl2, ALOX5AP, CD300LF, NQO2, CSF3R, NFKBIA, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, VWF, PTGIR, EGFR, SPON2, FABP4, IL1B, CXCL10, FPR2, ANXA2, SPI1, FCGR2A, ANXA1, SELP, SELPLG, MMP8, CXCL3, CYBB, FLOT1, HCK, F2RL1, TNFAIP8L2, MMP12, SELE, RAC2, OLFM4, LAMA5, CAPG, TREM1, IL17RB, SPN, GDF15, ITGA6, MYO1F, CXCL2, PDK4, NOS2, TNFAIP3, NLRP3, SERPINA1, LGALS3, TNIP1, TIMP1, ICAM1	112
Cell-To-Cell Signaling and Interaction, Cellular Movement	recruitment	Recruitment of cells	4.37e-26	Increased	5.548	4.354	CX3CR1, MMP2, TNFRSF1A, SELL, PIK3R5, FGR, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, TRPM2, HDC, HAO1, FOXA2, FERMT3, TLR2, CYP1B1, S1PR1, NCF4, HBEGF, CTSG, LYZ, PRTN3, AHR, GSN, CXCR2, STAT6, ELANE, FAS, JUN, ITGAM, CXCL12, CLEC4E, LGALS1, HPSE, CCR1, CAMP, CCL3L3, LEPR, S100A4, CHI3L1, GCNT1, Pde4d, STAT5A, P2RY2, TREML2, LPAR3, CCR2, S100A8, Ccl7, GGT5, LTB4R, Ccl2, Ccl6, ALOX5AP, CCL20, CARD9, NFKBIA, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, CAT, FUT8, VWF, EGFR, SPON2, IL1B, CD14, CXCL10, FPR2, CLEC5A, OLR1, FCGR2A, ANXA1, SOD3, SLFN12L, SELP, MYO9B, SERPINE1, CXCL3, PGLYRP2, CLEC7A, FLOT1, HCK, F2RL1, MMP12, BCL3, F13A1, SELE, PIK3R1, IL15RA, SDC1, MIF, CD5L, GDF15, SGPL1, MPO, CSF2RB, CXCL2, CCRL2, TNFRSF10A, CYP1A2, NLRP3, LGALS3, TIMP1, ICAM1, SIGLEC9	110
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cell movement	Cell movement of phagocytes	1.59e-25	Increased	5.889	4.725	LOX, NLRP12, CX3CR1, TNFRSF1A, RASGRP4, NCF1, SELL, JAK3, PIK3R5, FGR, FCER1G, TNFRSF9, ITGB2, ARRB2, ALOX5, TRPM2, STING1, HP, TYROBP, FOXA2, CD9, NFKBIZ, HCAR2, FERMT3, TLR2, S1PR1, TREM3, LILRB3, TNFRSF21, MAS1, CTSG, LCN2, PRTN3, GSN, MASP2, CXCR2, MYLK, STAT6, ELANE, FAS, PLTP, CD207, SERPINB1, ITGAM, CXCL12, LGALS1, HPSE, CCR1, SOCS3, IL6R, LBP, P2RY4, CCL3L3, TREM2, S100A4, CX3CL1, DUSP1, GCNT1, Pde4d, CEBPE, TREML2, MARCO, CCR2, TRPM4, S100A8, Ccl7, SREBF1, KLF6, S100A9, CES1, LTB4R, RIPK3, MAPK13, PROCR, Ccl2, ALOX5AP, CD300LF, NQO2, CSF3R, NFKBIA, CMKLR1, SAA1, IL1RN, C5AR1, ADAMTS13, MAP3K8, ANO6, VWF, CD86, EGFR, FABP4, IL1B, CXCL10, FLNA, FPR2, ANXA2, SPI1, FCGR2A, ANXA1, SELP, SELPLG, MMP8, PPP1R15A, MYO9B, SERPINE1, CXCL3, CYBB, IKBKE, FLOT1, HCK, F2RL1, TNFAIP8L2, MMP12, MICOS10-NBL1/NBL1, LITAF, SELE, PIK3R1, IL15RA, RAC2, SDC1, ARHGEF5, CAPG, LDLR, TREM1, IL17RB, CTSE, MIF, SPN, GDF15, CSF2RB, ITGA6, MYO1F, CXCL2, PDK4, GATA1, HMOX1, CCRL2, Irgm1, NOS2, TNFAIP3, NLRP3, SERPINA1, LGALS3, TNIP1, TIMP1, ICAM1	146
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of blood cells	1.86e-25	0	-0.046	-1.078	NLRP12, TNFRSF1A, NEDD9, SELL, JAK3, TNFRSF9, ARRB2, ADD2, F630028O10Rik, DAPP1, FOS, LILRB4, CXCR6, SNCA, CD300A, SNAI2, FES, TNFRSF11A, CCDC3, S1PR1, HBEGF, LILRB3, TNFRSF21, C6, AHR, PRTN3, CLU, GSN, CXCR2, CDKN2B, CFP, BAX, FAS, SERPINB1, ACHE, ITGAM, LGALS1, HPSE, MAFK, PGLYRP1, ADM2, NPC2, LEPR, CCL3L3, TREM2, CX3CL1, DMTN, ARHGDIA, MXD1, DCN, GSTP1, KEL, TRPM4, S100A8, SLC40A1, Ccl7, CD79B, EGR1, PLAT, LTB4R, RIPK3, CEBPB, EPB42, ORMDL3, RORC, RARB, Ccl2, Mt1, Cd33, CD300LF, CSF3R, SPIB, SAA1, SLC33A1, IL1RN, RELB, CTSD, PTGIR, ESR1, MPZL2, CHST3, CXCL10, FPR2, ACKR4, PAWR, HAVCR2, Pvr, ALPL, SELP, SELPLG, PPP1R15A, MYO9B, CYBB, FOXO3, CLEC7A, F2RL1, TNFAIP8L2, BCL3, F13A1, LITAF, IL15RA, GCNT2, MAPT, BIK, MZB1, TAL1, SLC4A1, RGS18, SPN, CD5L, SGPL1, CSF2RB, SLPI, ICOSLG/LOC102723996, ABCA1, LECT2, EPOR, CLEC4A, BLK, TNFRSF10A, Irgm1, RGS1, TNIP1, Ly6a (includes others), ICAM1, ADA, CX3CR1, LGMN, FCGR1A, PIK3R5, FCER1G, ITGB2, BIRC3, ATF3, ARHGDIB, ALOX5, STING1, HDC, TYROBP, GHR, F11, ZFP36, FERMT3, TLR2, C17orf99, ANG, Cd24a, Mbl1, PLAC8, LCN2, IGF1, SLC25A21, NPR3, SAMSN1, NFKB2, VCAN, BATF, STAT6, Slfn1, STAT5B, JUN, CXCL12, CLEC4E, SOCS3, CCR1, ZBTB16, KLKB1, SLC20A1, CAMP, KLF4, IRAK3, FGFRL1, ITGA2B, CHI3L1, DUSP1, GCNT1, Pde4d, STAT5A, APBB1IP, CEBPE, NT5E, STEAP4, CCR2, STAT4, SREBF1, NR4A1, CLEC4D, S100A9, BMF, HLA-A, MMP19, DUSP5, ACAT1, NFE2, DUSP10, STX11, SALL4, NQO2, GADD45B, NFKBIA, SLC7A2, CMKLR1, C5AR1, MAP3K8, RGCC, FOSB, HSD11B1, VWF, NGF, CD86, Ctla2a/Ctla2b, BACH2, IL1B, SPON2, FLNA, DYRK3, LIF, SPI1, PIM1, FCGR2A, ANXA1, RBM38, SLFN12L, MMP8, SERPINE1, IL36G, SPTB, CLCF1, HCK, ITGA3, PLSCR1, MMP12, PHOSPHO1, GNA12, DDR1, SELE, PIK3R1, CLDN1, RAC2, MYO1G, SDC1, ARHGEF5, CD83, MRTFA, LDLR, TSC22D3, Ank2, CTSE, IL17RB, BLNK, MIF, GDF15, ADAM8, RAPGEF4, MPO, ITGA6, SERPINB6, CXCL2, GATA1, HMOX1, PLEK2, GSTZ1, NOS2, NGFR, ATP13A5, TNFAIP3, NLRP3, SERPINA1, EGR2, LGALS3, TIMP1, HPX	272
Cellular Movement	cell movement	Cell movement of myeloid cells	6.8e-25	Increased	5.816	4.775	LOX, NLRP12, CX3CR1, TNFRSF1A, RASGRP4, NCF1, SELL, JAK3, PIK3R5, FGR, PLA2G7, FCER1G, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, TRPM2, STING1, HP, TYROBP, FOXA2, CD9, NFKBIZ, HCAR2, FERMT3, TLR2, TREM3, LILRB3, TNFRSF21, MAS1, CTSG, LCN2, PRTN3, GSN, MASP2, CXCR2, MYLK, STAT6, ELANE, FAS, PLTP, SERPINB1, ITGAM, CXCL12, CLEC4E, LGALS1, CCR1, SOCS3, IL6R, LBP, P2RY4, CCL3L3, TREM2, S100A4, CX3CL1, DUSP1, GCNT1, Pde4d, CEBPE, TREML2, CCR2, S100A8, Ccl7, SREBF1, KLF6, NR4A1, PLAUR, S100A9, CES1, LTB4R, RIPK3, MAPK13, PROCR, Ccl2, ALOX5AP, CD300LF, NQO2, CSF3R, NFKBIA, CMKLR1, SAA1, IL1RN, C5AR1, ADAMTS13, MAP3K8, ANO6, VWF, PTGIR, EGFR, SPON2, FABP4, IL1B, CXCL10, FLNA, FPR2, ANXA2, SPI1, FCGR2A, ANXA1, SELP, SELPLG, MMP8, PPP1R15A, MYO9B, SERPINE1, CXCL3, CYBB, IKBKE, FLOT1, HCK, F2RL1, TNFAIP8L2, MMP12, MICOS10-NBL1/NBL1, LITAF, SELE, PIK3R1, IL15RA, RAC2, OLFM4, LAMA5, SDC1, CAPG, LDLR, TREM1, IL17RB, CTSE, MIF, SPN, GDF15, ITGA6, MYO1F, CXCL2, PDK4, HMOX1, Irgm1, NOS2, TNFAIP3, NLRP3, SERPINA1, LGALS3, TNIP1, TIMP1, ICAM1	145
Cellular Movement	cellular infiltration	Cellular infiltration	3.26e-24	Increased	4.233	3.892	ADA, LOX, CX3CR1, MMP2, TNFRSF1A, NCF1, SELL, JAK3, FCER1G, PLA2G7, TNFRSF9, ITGB2, ALDOA, ARRB2, ALOX5, FOS, LILRB4, TRPM2, STING1, FOXA2, NFKBIZ, TLR2, TNFRSF21, MAS1, CTSG, NFKB2, ST3GAL3, PRTN3, AHR, CXCR2, MASP2, MYLK, STAT6, ELANE, FST, STAT5B, FAS, PLTP, JUNB, JUN, ITGAM, CXCL12, CLEC4E, LGALS1, CCR1, SOCS3, PGLYRP1, IL6R, FASN, P2RY4, CCL3L3, S100A4, CX3CL1, TKT, TPI1, DUSP1, STAT5A, IL1RAP, DCN, IGFBP3, GSDMD, CCR2, MBP, SREBF1, NR4A1, PLAUR, S100A9, CES1, GFAP, HLA-A, LTB4R, RIPK3, PROCR, PDGFA, RORC, Ccl2, ALOX5AP, CD300LF, NQO2, NFKBIA, CMKLR1, SAA1, IL1RN, C5AR1, ADAMTS13, RELB, MAP3K8, RGCC, VWF, CD86, PTGIR, ESR1, EGFR, FABP4, IL1B, CXCL10, FPR2, CLEC5A, LIF, ANXA2, SPI1, ANXA1, SELP, SELPLG, MMP8, PPP1R15A, SERPINE1, CXCL3, CYBB, TNFAIP8, IKBKE, HCK, F2RL1, TNFAIP8L2, MMP12, ABCB4, SELE, PIK3R1, IL15RA, RAC2, OLFM4, LDLR, TREM1, IL17RB, MIF, MPO, CSF2RB, CXCL2, PDK4, HMOX1, TNFRSF10A, NOS2, TNFAIP3, CYP1A2, NLRP3, SERPINA1, LGALS3, MCAM, TNIP1, TIMP1, Ly6a (includes others), ICAM1, SERPING1	143
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of granulocytes	8.12e-24	0	-0.67	-0.57	ADA, NLRP12, TNFRSF1A, SELL, JAK3, PIK3R5, ITGB2, ALOX5, ARHGDIB, HDC, SNAI2, CD300A, F11, ZFP36, TNFRSF11A, FES, TLR2, C6, PLAC8, LCN2, NFKB2, AHR, PRTN3, CLU, GSN, CXCR2, STAT6, CFP, STAT5B, FAS, SERPINB1, ACHE, ITGAM, CLEC4E, HPSE, LGALS1, SOCS3, PGLYRP1, CAMP, CCL3L3, IRAK3, GCNT1, DUSP1, Pde4d, STAT5A, MXD1, ARHGDIA, DCN, CEBPE, CCR2, S100A8, STAT4, S100A9, DUSP5, Ccl2, STX11, Mt1, SALL4, NQO2, CSF3R, NFKBIA, CMKLR1, SLC33A1, C5AR1, RELB, MAP3K8, PTGIR, CHST3, SPON2, IL1B, FPR2, LIF, SPI1, FCGR2A, ANXA1, SLFN12L, SELP, SELPLG, MMP8, SERPINE1, CYBB, CLEC7A, CLCF1, F2RL1, ITGA3, PLSCR1, MMP12, SELE, RAC2, SDC1, ARHGEF5, LDLR, BIK, MAPT, IL17RB, CTSE, MIF, CD5L, ADAM8, RAPGEF4, CSF2RB, SLPI, CXCL2, GATA1, CLEC4A, NOS2, TNFAIP3, SERPINA1, LGALS3, TIMP1, Ly6a (includes others), ICAM1	112
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of leukocytes	9.87e-24	0	0.01	-1.017	NLRP12, TNFRSF1A, NEDD9, SELL, JAK3, TNFRSF9, ARRB2, F630028O10Rik, DAPP1, FOS, LILRB4, CXCR6, SNCA, CD300A, SNAI2, FES, TNFRSF11A, CCDC3, S1PR1, HBEGF, LILRB3, TNFRSF21, C6, AHR, PRTN3, CLU, GSN, CXCR2, CDKN2B, CFP, BAX, FAS, SERPINB1, ACHE, ITGAM, LGALS1, HPSE, PGLYRP1, ADM2, NPC2, LEPR, CCL3L3, TREM2, CX3CL1, MXD1, ARHGDIA, DCN, GSTP1, TRPM4, S100A8, Ccl7, CD79B, EGR1, PLAT, LTB4R, RIPK3, CEBPB, ORMDL3, RORC, RARB, Ccl2, Mt1, CD300LF, CSF3R, SPIB, SAA1, IL1RN, SLC33A1, RELB, CTSD, PTGIR, ESR1, MPZL2, CHST3, CXCL10, FPR2, ACKR4, PAWR, HAVCR2, Pvr, ALPL, SELP, SELPLG, MYO9B, CYBB, FOXO3, CLEC7A, F2RL1, TNFAIP8L2, BCL3, F13A1, LITAF, IL15RA, GCNT2, BIK, MAPT, MZB1, TAL1, SPN, CD5L, SGPL1, CSF2RB, SLPI, ICOSLG/LOC102723996, ABCA1, LECT2, CLEC4A, BLK, TNFRSF10A, RGS1, TNIP1, Ly6a (includes others), ICAM1, ADA, CX3CR1, LGMN, FCGR1A, PIK3R5, FCER1G, ITGB2, BIRC3, ATF3, ARHGDIB, ALOX5, STING1, HDC, TYROBP, GHR, F11, ZFP36, FERMT3, TLR2, C17orf99, ANG, Cd24a, Mbl1, PLAC8, LCN2, IGF1, SLC25A21, SAMSN1, NFKB2, VCAN, BATF, STAT6, Slfn1, STAT5B, CXCL12, CLEC4E, CCR1, SOCS3, KLKB1, CAMP, KLF4, IRAK3, CHI3L1, DUSP1, GCNT1, Pde4d, STAT5A, APBB1IP, CEBPE, NT5E, STEAP4, CCR2, STAT4, SREBF1, NR4A1, CLEC4D, S100A9, BMF, HLA-A, MMP19, DUSP5, ACAT1, DUSP10, STX11, SALL4, NQO2, GADD45B, NFKBIA, SLC7A2, CMKLR1, C5AR1, MAP3K8, RGCC, FOSB, HSD11B1, NGF, CD86, Ctla2a/Ctla2b, BACH2, IL1B, SPON2, FLNA, LIF, SPI1, PIM1, FCGR2A, ANXA1, SLFN12L, MMP8, SERPINE1, IL36G, CLCF1, HCK, ITGA3, PLSCR1, MMP12, GNA12, DDR1, SELE, CLDN1, PIK3R1, RAC2, MYO1G, SDC1, ARHGEF5, CD83, LDLR, Ank2, CTSE, IL17RB, BLNK, MIF, GDF15, RAPGEF4, ADAM8, MPO, ITGA6, SERPINB6, CXCL2, GATA1, HMOX1, GSTZ1, NOS2, NGFR, ATP13A5, TNFAIP3, NLRP3, SERPINA1, LGALS3, EGR2, TIMP1, HPX	245
Cellular Function and Maintenance	function	Function of leukocytes	1.52e-23	Increased	2.101	1.783	ADA, TAGLN2, CX3CR1, LGMN, TNFRSF1A, FCGR1A, RASGRP4, NEDD9, SELL, JAK3, FGR, FCER1G, TNFRSF9, ITGB2, ARRB2, BIRC3, ATF3, ARHGDIB, FOS, LILRB4, TRPM2, CD300A, TYROBP, ZFP36, CD9, FES, NFKBIZ, TLR2, S1PR1, IFI30, LILRB3, TNFRSF21, LCN2, RHBDF2, SAMSN1, NFKB2, AHR, GSN, IL18RAP, CXCR2, STAT6, CLEC6A, STAT5B, ITGAM, CLEC4E, LGALS1, CCR1, NPC2, LEPR, S100A4, RGS16, IRAK3, CX3CL1, LCP1, CHI3L1, DUSP1, STAT5A, ARHGDIA, MARCO, CCR2, TRPM4, STAT4, PAK1, PLAUR, PLAT, EGR1, HLA-A, LTB4R, DUSP5, RIPK3, CEBPB, RORC, P2RY6, Ccl2, STX11, Mt1, CD300LF, TRIB3, UBD, GADD45B, CARD9, NFKBIA, CMKLR1, RELB, CD86, IL18R1, IL1B, CD14, CXCL10, FPR2, ACKR4, PIM1, PAWR, PSTPIP1, HAVCR2, FCGR2A, SELP, MYO9B, GPR84, CYBB, CLEC7A, FLOT1, HCK, TNFAIP8L2, MMP12, BCL3, SELE, PIK3R1, IL15RA, MYO1G, IDO2, ARHGEF5, CAPG, BIK, TRAF4, Cmah, SPN, TRIP10, TNFSF14, CSF2RB, ICOSLG/LOC102723996, SLPI, GPNMB, KCNN4, LECT2, TPCN1, CCRL2, PCTP, NOS2, RGS1, NLRP3, LGALS3, ICAM1, SIGLEC9, SUCNR1	135
