category	-log10(pvalue)	zscore	ratio	molecules	direction
Apelin Endothelial Signaling Pathway	0.463	0.905	0.106	ADCY2, APLNR, FOS, ICAM1, JUN, NFKB2, PIK3R1, PIK3R5, PRKAA2, PRKAG2, RASD1, RRAS	positive
CD28 Signaling in T Helper Cells	0.463	2.333	0.106	ARPC1B, CD86, FCER1G, FOS, HLA-A, IKBKE, JUN, NFKB2, NFKBIA, PAK1, PIK3R1, PIK3R5	positive
Cdc42 Signaling	0.462	2.887	0.104	ARPC1B, CDC42EP5, FCER1G, FOS, HLA-A, ITGA3, ITGA6, ITGB2, JUN, MAPK13, MYL12A, MYL12B, MYL4, MYLK, PAK1	positive
Leptin Signaling in Obesity	0.448	0	0.11	ADCY2, LEPR, NOTUM, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, SOCS3	no direction
Non-Small Cell Lung Cancer Signaling	0.448	0.816	0.11	EGFR, FOXO3, PIK3R1, PIK3R5, RARB, RASD1, RASSF1, RRAS	positive
TGF-β Signaling	0.44	1.414	0.106	ACVR1B, FOS, INHBC, JUN, MAPK13, RASD1, RRAS, SERPINE1, TFE3, TGIF1	positive
Adenosine Nucleotides Degradation II	0.428	0	0.143	ADA, NT5E	no direction
Phenylalanine Degradation IV (Mammalian, via Side Chain)	0.428	0	0.143	MAOB, SMOX	no direction
Netrin Signaling	0.427	0.378	0.109	ABLIM3, CACNA1B, CACNB2, CACNB4, PRKAG2, PRKAR2B, RAC2	positive
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	0.418	0	0.125	AGPAT4, LPCAT1, LPCAT4	no direction
Adenine and Adenosine Salvage III	0.417	0	0.2	ADA	no direction
Arginine Biosynthesis IV	0.417	0	0.2	GLUD1	no direction
Citrulline-Nitric Oxide Cycle	0.417	0	0.2	NOS2	no direction
Creatine-phosphate Biosynthesis	0.417	0	0.2	MAP4K4	no direction
Lysine Degradation V	0.417	0	0.2	PIPOX	no direction
Proline Biosynthesis II (from Arginine)	0.417	0	0.2	PYCR1	no direction
Serine Biosynthesis	0.417	0	0.2	PSAT1	no direction
Tetrapyrrole Biosynthesis II	0.417	0	0.2	HMBS	no direction
Tyrosine Degradation I	0.417	0	0.2	GSTZ1	no direction
p70S6K Signaling	0.414	-0.302	0.102	CD79B, EGFR, F2RL1, F2RL2, MAPT, NOTUM, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS, YWHAZ	negative
Pyridoxal 5'-phosphate Salvage Pathway	0.409	0.816	0.108	DAPK1, DMPK, MAP3K6, MAP3K8, PAK1, PIM1, PRKAA2	positive
Insulin Receptor Signaling	0.408	-0.632	0.101	ACLY, EPM2A, FOXO3, INPP5J, PIK3R1, PIK3R5, PPP1R3C, PRKAG2, PRKAR2B, RASD1, RRAS, SLC2A4, SOCS3, TRIP10	negative
Systemic Lupus Erythematosus Signaling	0.408	0	0.1	C6, C8G, CD79B, CD86, FCER1G, FCGR1A, FCGR2A, FOS, HLA-A, IL1B, IL1RN, IL36G, IL6R, JUN, PIK3R1, PIK3R5, RASD1, RRAS	no direction
PDGF Signaling	0.405	2.121	0.105	FOS, INPP5J, JAK3, JUN, PDGFA, PIK3R1, PIK3R5, RASD1, RRAS	positive
EGF Signaling	0.404	1.633	0.109	EGFR, FOS, JUN, MAPK13, PIK3R1, PIK3R5	positive
Renal Cell Carcinoma Signaling	0.399	1.633	0.105	FOS, JUN, PAK1, PIK3R1, PIK3R5, RASD1, RRAS, UBD	positive
nNOS Signaling in Neurons	0.399	0	0.111	CAPN1, CAPN5, GRIN3B, GRINA, RASD1	no direction
Apelin Cardiomyocyte Signaling Pathway	0.397	0	0.103	APLNR, CAT, MAPK13, MYL12A, MYL12B, MYL4, MYLK, NOTUM, PIK3R1, PIK3R5	no direction
RhoA Signaling	0.396	1.155	0.102	ARHGAP9, ARPC1B, CDC42EP5, CIT, GNA12, IGF1, LPAR3, MYL12A, MYL12B, MYL4, MYLK, SEPTIN5	positive
Insulin Secretion Signaling Pathway	0.389	1.043	0.0979	ADCY2, EIF4EBP3, FGR, GHR, GNA14, GNA15, HCK, JAK3, KCNB1, MAPK13, NOTUM, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PRLR, RAPGEF4, SLC2A3, SLC2A4, STAT4, STAT5A, STAT5B, STAT6	positive
Gustation Pathway	0.385	0	0.1	ADCY2, CACNA1B, CACNB2, CACNB4, GDPD1, P2RX3, P2RX4, P2RY2, P2RY4, P2RY6, PDE6H, PRKAG2, PRKAR2B, SMPDL3B	no direction
Corticotropin Releasing Hormone Signaling	0.374	1.941	0.0993	ADCY2, CACNA1B, CACNB2, CACNB4, FOS, GUCY2C, JUN, JUND, MAPK13, NOS2, NPR3, NR4A1, PRKAG2, PRKAR2B	positive
Apelin Liver Signaling Pathway	0.364	0	0.115	APLNR, COL5A3, FAS	no direction
Opioid Signaling Pathway	0.363	0.229	0.0966	ADCY2, ARRB2, BLK, CACNA1B, CACNB2, CACNB4, FGR, FOS, FOSB, GRIN3B, GRINA, HCK, NFKB2, NFKBIA, PRKAG2, PRKAR2B, RAC2, RASD1, RGS1, RGS16, RGS18, RRAS, SCN7A	positive
eNOS Signaling	0.359	0	0.098	ADCY2, AQP3, AQP4, AQP7, AQP8, CHRNA4, ESR1, Hspa1b, LPAR3, PIK3R1, PIK3R5, PRKAA2, PRKAG2, PRKAR2B, PROK1	no direction
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	0.357	0	0.167	DBT	no direction
GDP-mannose Biosynthesis	0.357	0	0.167	GPI	no direction
Glycerol Degradation I	0.357	0	0.167	Gk	no direction
Glycogen Biosynthesis II (from UDP-D-Glucose)	0.357	0	0.167	EPM2A	no direction
Pentose Phosphate Pathway (Non-oxidative Branch)	0.357	0	0.167	TKT	no direction
Salvage Pathways of Pyrimidine Deoxyribonucleotides	0.357	0	0.167	TK1	no direction
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	0.357	0	0.167	SEPSECS	no direction
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	0.357	0	0.167	AFMID	no direction
UDP-N-acetyl-D-glucosamine Biosynthesis II	0.357	0	0.167	GFPT2	no direction
Urea Cycle	0.357	0	0.167	ARG2	no direction
Human Embryonic Stem Cell Pluripotency	0.356	0	0.0985	BMP5, FGFRL1, FZD1, FZD8, NGF, NTRK2, PDGFA, PIK3R1, PIK3R5, S1PR1, SALL4, WNT2, WNT5A	no direction
Chondroitin Sulfate Degradation (Metazoa)	0.356	0	0.125	GALNS, GM2A	no direction
Extrinsic Prothrombin Activation Pathway	0.356	0	0.125	F13A1, F13B	no direction
γ-linolenate Biosynthesis II (Animals)	0.356	0	0.125	ACSL1, ACSL4	no direction
Autophagy	0.352	0	0.103	ATG3, CTSD, CTSE, CTSG, Ctsj, CTSZ	no direction
cAMP-mediated signaling	0.352	0.447	0.0963	ADCY2, AKAP12, APLNR, CXCR2, DUSP1, DUSP9, FPR2, GDPD1, HCAR2, LTB4R, NPR3, PDE6H, PKIA, PRKAR2B, PTGIR, RAPGEF4, RGS18, RGS2, S1PR1, SMPDL3B, VIPR1	positive
Role of IL-17F in Allergic Inflammatory Airway Diseases	0.35	0	0.108	CXCL10, IGF1, IL1B, NFKB2	no direction
Mouse Embryonic Stem Cell Pluripotency	0.345	0.333	0.099	FZD1, FZD8, JAK3, LIF, LIFR, MAPK13, PIK3R1, PIK3R5, RASD1, RRAS	positive
IL-4 Signaling	0.34	0	0.1	HLA-A, INPP5J, JAK3, PIK3R1, PIK3R5, RASD1, RRAS, STAT6	no direction
Sonic Hedgehog Signaling	0.339	0	0.111	ARRB2, PRKAG2, PRKAR2B	no direction
Chronic Myeloid Leukemia Signaling	0.333	0	0.098	CBLC, HDAC11, IKBKE, NFKB2, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B	no direction
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0.331	0.378	0.1	ADCY2, GNA14, GNA15, NOTUM, PRKAG2, PRKAR2B, VIPR1	positive
fMLP Signaling in Neutrophils	0.33	1.667	0.0973	ARPC1B, CYBB, FPR2, NCF1, NCF2, NFKB2, NFKBIA, PIK3R1, PIK3R5, RASD1, RRAS	positive
Autoimmune Thyroid Disease Signaling	0.33	0	0.105	CD86, FAS, FCER1G, HLA-A	no direction
Cellular Effects of Sildenafil (Viagra)	0.327	0	0.0968	ADCY2, GUCY2C, KCNN4, MYH10, MYL12A, MYL12B, MYL4, MYLK, NOTUM, PRKAG2, PRKAR2B, SLC4A5	no direction
D-myo-inositol (1,4,5)-trisphosphate Degradation	0.326	0	0.118	IMPA1, INPP5J	no direction
Dermatan Sulfate Degradation (Metazoa)	0.326	0	0.118	FGFRL1, GM2A	no direction
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	0.326	0	0.118	IL1B, LCN2	no direction
Purine Nucleotides Degradation II (Aerobic)	0.326	0	0.118	ADA, NT5E	no direction
Salvage Pathways of Pyrimidine Ribonucleotides	0.324	1.414	0.0978	AK7, DAPK1, DMPK, MAP3K6, MAP3K8, PAK1, PIM1, PRKAA2, UPP1	positive
Telomerase Signaling	0.321	0	0.0971	EGFR, ELF3, HDAC11, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS, TERT	no direction
Regulation of the Epithelial-Mesenchymal Transition Pathway	0.316	0	0.0947	EGFR, EGR1, FGF1, FGFRL1, FZD1, FZD8, JAK3, LOX, MMP2, NFKB2, PIK3R1, PIK3R5, PYGO1, RASD1, RRAS, SNAI2, WNT2, WNT5A	no direction
HER-2 Signaling in Breast Cancer	0.314	0	0.0976	AREG, EGFR, ITGB2, MMP2, PIK3R1, PIK3R5, RASD1, RRAS	no direction
PD-1, PD-L1 cancer immunotherapy pathway	0.312	0.333	0.0968	HLA-A, JAK3, NGFR, PDCD4, PIK3R1, PIK3R5, STAT5A, STAT5B, TNFRSF1A	positive
Gαs Signaling	0.31	0.632	0.0962	ADCY2, ADD2, HCAR2, HCK, PRKAG2, PRKAR2B, PTGIR, RAPGEF4, RGS2, VIPR1	positive
iCOS-iCOSL Signaling in T Helper Cells	0.31	0.816	0.0962	CD86, FCER1G, HLA-A, ICOSLG/LOC102723996, IKBKE, NFKB2, NFKBIA, PIK3R1, PIK3R5, PLEKHA4	positive
Glycoaminoglycan-protein Linkage Region Biosynthesis	0.309	0	0.143	XYLT2	no direction
Thioredoxin Pathway	0.309	0	0.143	TXNRD1	no direction
Ovarian Cancer Signaling	0.305	0	0.0949	EGFR, FZD1, FZD8, MMP2, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PROK1, RASD1, RRAS, WNT2, WNT5A	no direction
Sirtuin Signaling Pathway	0.3	-1.414	0.0933	ABCA1, ACLY, ARG2, ATG3, BAX, CPT1B, CPT1C, FOXO3, G6PD, GADD45B, GLUD1, HMGCS2, JUN, LDHB, NAMPT, NFKB2, NOS2, PCK2, POLR1B, PPARA, PRKAA2, RARB, SOD3, SREBF1, TUBA8	negative
Inhibition of ARE-Mediated mRNA Degradation Pathway	0.298	0.302	0.0948	CNOT8, MAPK13, NGFR, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, TNFRSF1A, TNFSF14, YWHAZ, ZFP36	positive
Synaptic Long Term Potentiation	0.297	0.302	0.0945	GNA14, GNA15, GRIA2, GRIA3, GRIN3B, GRINA, NOTUM, PPP1R3C, PRKAG2, PRKAR2B, RASD1, RRAS	positive
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	0.296	0	0.103	FAS, FCER1G, HLA-A	no direction
Pyrimidine Ribonucleotides Interconversion	0.294	0	0.1	AK7, ENTPD1, ENTPD8, SLC25A42	no direction
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	0.278	0	0.0962	NFKB2, NFKBIA, PIK3R1, PIK3R5, PLAC8	no direction
Methionine Degradation I (to Homocysteine)	0.274	0	0.105	AHCY, MGMT	no direction
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0.269	2.121	0.0922	C5AR1, CLCF1, CLEC6A, CLEC7A, IL1B, IL36G, LIF, NFKB2, NLRP3, PIK3R1, PIK3R5, TLR2, TNFSF14	positive
Sphingomyelin Metabolism	0.269	0	0.125	SMPD3	no direction
Virus Entry via Endocytic Pathways	0.268	0	0.0928	CXADR, FLNA, HLA-A, ITGB2, PIK3R1, PIK3R5, RAC2, RASD1, RRAS	no direction
GDNF Family Ligand-Receptor Interactions	0.266	1.342	0.0933	FOS, JUN, PDLIM7, PIK3R1, PIK3R5, RASD1, RRAS	positive
Remodeling of Epithelial Adherens Junctions	0.265	0	0.0938	ARPC1B, MAPRE3, TUBA8, TUBB3, TUBB6, ZYX	no direction
BAG2 Signaling Pathway	0.261	1	0.0952	ANXA2, Hspa1b, MAPT, NFKB2	positive
Pyrimidine Ribonucleotides De Novo Biosynthesis	0.261	0	0.0952	AK7, ENTPD1, ENTPD8, SLC25A42	no direction
SPINK1 Pancreatic Cancer Pathway	0.25	-0.447	0.0926	ELANE, F2RL1, KLKB1, MMP12, SPINK1	negative
Heme Biosynthesis II	0.236	0	0.111	HMBS	no direction
Cysteine Biosynthesis III (mammalia)	0.231	0	0.0952	AHCY, MGMT	no direction
Calcium Transport I	0.208	0	0.1	ANXA5	no direction
Embryonic Stem Cell Differentiation into Cardiac Lineages	0.208	0	0.1	SP4	no direction
NAD Phosphorylation and Dephosphorylation	0.208	0	0.1	NADK2	no direction
NAD biosynthesis II (from tryptophan)	0.208	0	0.1	AFMID	no direction
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0	0	0.0556	INPP5J	no direction
ATM Signaling	0	-0.447	0.0737	CDC25A, GADD45B, JUN, MAPK13, NFKBIA, PPP2R2B, PPP2R5B	negative
Activation of IRF by Cytosolic Pattern Recognition Receptors	0	1	0.0769	IKBKE, JUN, NFKB2, NFKBIA	positive
Airway Inflammation in Asthma	0	0	0.0714	CCL20, ELANE	no direction
Aldosterone Signaling in Epithelial Cells	0	-1	0.0588	AHCY, DNAJC10, DNAJC12, DUSP1, HSPA4L, HSPB8, NOTUM, PIK3R1, PIK3R5	negative
Allograft Rejection Signaling	0	0	0.0702	CD86, FAS, FCER1G, HLA-A	no direction
Androgen Signaling	0	0.378	0.0833	CACNA1B, CACNB2, CACNB4, GNA12, GNA14, GNA15, GNAT1, JUN, NFKB2, PRKAG2, PRKAR2B	positive
Antigen Presentation Pathway	0	0	0.0357	HLA-A	no direction
Antiproliferative Role of Somatostatin Receptor 2	0	1	0.0909	GUCY2C, NPR3, PIK3R1, PIK3R5, RASD1, RRAS, SSTR2	positive
Antiproliferative Role of TOB in T Cell Signaling	0	0	0.027	FCER1G	no direction
Assembly of RNA Polymerase I Complex	0	0	0.0909	POLR1B	no direction
Assembly of RNA Polymerase II Complex	0	0	0.0208	TAF7	no direction
Basal Cell Carcinoma Signaling	0	-2	0.0725	BMP5, FZD1, FZD8, WNT2, WNT5A	negative
CCR3 Signaling in Eosinophils	0	1.342	0.0598	MAPK13, MYLK, PAK1, PIK3R1, PIK3R5, RASD1, RRAS	positive
CCR5 Signaling in Macrophages	0	0	0.0889	CACNA1B, CACNB2, CACNB4, FAS, FCER1G, FOS, JUN, MAPK13	no direction
CNTF Signaling	0	0	0.0893	LIFR, PIK3R1, PIK3R5, RASD1, RRAS	no direction
CTLA4 Signaling in Cytotoxic T Lymphocytes	0	0	0.0864	CD86, FCER1G, HLA-A, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B	no direction
Calcium Signaling	0	-0.577	0.0872	CABIN1, CACNA1B, CACNB2, CACNB4, CASQ1, CHRNA4, GRIA2, GRIA3, GRIN3B, GRINA, HDAC11, MYH10, MYL4, PRKAG2, PRKAR2B, TNNT1, Tpm1	negative
Calcium-induced T Lymphocyte Apoptosis	0	0	0.069	CABIN1, FCER1G, HLA-A, NR4A1	no direction
Cancer Drug Resistance By Drug Efflux	0	0	0.0862	ABCG2, FOXO3, PIK3R1, RASD1, RRAS	no direction
Cardiac β-adrenergic Signaling	0	0.632	0.0833	ADCY2, AKAP12, GDPD1, PDE6H, PKIA, PPP1R3C, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, SMPDL3B	positive
Cardiomyocyte Differentiation via BMP Receptors	0	0	0.0588	BMP5	no direction
Cell Cycle Control of Chromosomal Replication	0	0	0.0189	ORC5	no direction
Cell Cycle Regulation by BTG Family Proteins	0	0	0.0857	BTG2, PPP2R2B, PPP2R5B	no direction
Cell Cycle: G1/S Checkpoint Regulation	0	0	0.0469	CDC25A, CDKN2B, HDAC11	no direction
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0	0	0.0204	YWHAZ	no direction
Chemokine Signaling	0	1.342	0.08	CXCL12, FOS, JUN, MAPK13, RASD1, RRAS	positive
Coronavirus Pathogenesis Pathway	0	2.887	0.0876	ACE, BAX, FOS, IL1B, JUN, MAPK13, NFKB2, NFKBIA, NLRP3, SERPINE1, STING1, TMPRSS2	positive
Cyclins and Cell Cycle Regulation	0	-1	0.0641	CDC25A, CDKN2B, HDAC11, PPP2R2B, PPP2R5B	negative
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	0	0	0.0556	INPP5J	no direction
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	0	0	0.04	PI4K2B	no direction
DNA Methylation and Transcriptional Repression Signaling	0	0	0.0294	DNMT3B	no direction
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	0	0	0.0667	IL1B	no direction
Dopamine-DARPP32 Feedback in cAMP Signaling	0	1.265	0.0755	ADCY2, GRIN3B, GRINA, KCNJ2, NOTUM, PAWR, PPP1R1B, PPP1R3C, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B	positive
EIF2 Signaling	0	0.378	0.039	ATF3, PIK3R1, PIK3R5, PPP1R15A, RASD1, RRAS, SREBF1, TRIB3	positive
Endocannabinoid Developing Neuron Pathway	0	1.134	0.0877	ADCY2, MAPK13, MGLL, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RAC2, RASD1, RRAS	positive
Endometrial Cancer Signaling	0	0	0.0833	FOXO3, PIK3R1, PIK3R5, RASD1, RRAS	no direction
Ephrin A Signaling	0	0	0.087	NGFR, PAK1, PIK3R1, PIK3R5	no direction
Epithelial Adherens Junction Signaling	0	0	0.0897	ACVR1B, ARPC1B, EGFR, FGF1, MYH10, MYL4, RASD1, RRAS, SNAI2, TUBA8, TUBB3, TUBB6, ZYX	no direction
ErbB4 Signaling	0	0.447	0.0909	ERBB4, Nrg1, PIK3R1, PIK3R5, RASD1, RRAS	positive
Estrogen-mediated S-phase Entry	0	0	0.0769	CDC25A, ESR1	no direction
FAT10 Signaling Pathway	0	0	0.0556	UBD	no direction
FGF Signaling	0	-0.447	0.0595	FGF1, FGFRL1, MAPK13, PIK3R1, PIK3R5	negative
Factors Promoting Cardiogenesis in Vertebrates	0	-2.646	0.0486	ACVR1B, BMP5, FZD1, FZD8, NOTUM, WNT2, WNT5A	negative
Fc Epsilon RI Signaling	0	1.134	0.0708	FCER1G, INPP5J, MAPK13, PIK3R1, PIK3R5, RAC2, RASD1, RRAS	positive
GABA Receptor Signaling	0	0	0.0769	ADCY2, CACNA1B, CACNB2, CACNB4, KCNN4, SLC6A11, UBD	no direction
GADD45 Signaling	0	0	0.0526	GADD45B	no direction
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0	0	0.0909	ADCY2, CACNA1B, CACNB2, CACNB4, GNA14, GNA15, NOTUM, PRKAG2, PRKAR2B, RAPGEF4	no direction
Gap Junction Signaling	0	0	0.0881	ADCY2, EGFR, GJA10, GRIA2, GRIA3, GUCY2C, NOTUM, NPR3, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS, TUBA8, TUBB3, TUBB6	no direction
Glioma Signaling	0	0.816	0.0734	CDKN2B, EGFR, IGF1, PDGFA, PIK3R1, PIK3R5, RASD1, RRAS	positive
Guanosine Nucleotides Degradation III	0	0	0.0833	NT5E	no direction
HIPPO signaling	0	-0.816	0.0843	AJUBA, PPP1R3C, PPP2R2B, PPP2R5B, RASSF1, RASSF6, YWHAZ	negative
Hematopoiesis from Pluripotent Stem Cells	0	0	0.0541	FCER1G, LIF	no direction
Hereditary Breast Cancer Signaling	0	0	0.0511	GADD45B, HDAC11, PIK3R1, PIK3R5, RASD1, RRAS, UBD	no direction
Huntington's Disease Signaling	0	0.5	0.0881	BAX, CACNA1B, CAPN1, CAPN5, CASP4, CASQ1, CTSD, EGFR, GNA14, GNA15, HDAC11, Hspa1b, IFT57, IGF1, JUN, NGF, PIK3R1, PIK3R5, SNCA, UBD	positive
Hypoxia Signaling in the Cardiovascular System	0	0	0.0405	JUN, NFKBIA, SLC2A4	no direction
Inhibition of Angiogenesis by TSP1	0	0	0.0909	JUN, MAPK13, SDC1	no direction
Interferon Signaling	0	0	0.0323	BAX	no direction
Kinetochore Metaphase Signaling Pathway	0	0.447	0.06	ARPP19, CENPT, MAD2L2, PPP1R3C, PPP2R5B, SPC25	positive
Lipid Antigen Presentation by CD1	0	0	0.05	FCER1G	no direction
Mechanisms of Viral Exit from Host Cells	0	0	0.0256	VPS37C	no direction
Melanocyte Development and Pigmentation Signaling	0	0.816	0.086	ADCY2, DCT, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS	positive
Melanoma Signaling	0	0	0.08	PIK3R1, PIK3R5, RASD1, RRAS	no direction
Melatonin Signaling	0	-1	0.0725	NOTUM, PRKAG2, PRKAR2B, RORC, SLC2A4	negative
Mitochondrial Dysfunction	0	0	0.0563	BACE2, CAT, COX7A1, CPT1B, CPT1C, GPX4, GSR, MAOB, SNCA	no direction
Mitotic Roles of Polo-Like Kinase	0	0	0.0781	CAPN1, CDC25A, PLK3, PPP2R2B, PPP2R5B	no direction
NAD Salvage Pathway II	0	0	0.0455	NT5E	no direction
Nitric Oxide Signaling in the Cardiovascular System	0	0	0.0737	ARG2, GUCY2C, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PROK1	no direction
Nur77 Signaling in T Lymphocytes	0	1	0.0645	CABIN1, CD86, FCER1G, NR4A1	positive
OX40 Signaling Pathway	0	1	0.0769	FCER1G, HLA-A, JUN, NFKB2, NFKBIA	positive
Oxidative Phosphorylation	0	0	0.01	COX7A1	no direction
Phospholipases	0	1	0.0833	HMOX1, NOTUM, PLA2G7, PLD3, Pld6	positive
Polyamine Regulation in Colon Cancer	0	0	0.0455	MXD1	no direction
Primary Immunodeficiency Signaling	0	0	0.0732	ADA, BLNK, JAK3	no direction
Prostate Cancer Signaling	0	0	0.0769	GSTP1, NFKB2, NFKBIA, PIK3R1, PIK3R5, RASD1, RRAS	no direction
Protein Kinase A Signaling	0	-0.6	0.0853	ADCY2, ADD2, AKAP12, CDC25A, DUSP1, DUSP10, DUSP5, DUSP8, DUSP9, EPM2A, FLNA, GDPD1, MYH10, MYL12A, MYL12B, MYL4, MYLK, NFKB2, NFKBIA, NGFR, NOTUM, PDE6H, PPP1R1B, PPP1R3C, PRKAG2, PRKAR2B, PTPRB, Ptprd, PTPRT, SMPDL3B, TNS2, YWHAZ	negative
Protein Ubiquitination Pathway	0	0	0.0344	BIRC3, DNAJC10, DNAJC12, HLA-A, HSPA4L, HSPB8, PSMD8, UBD, USP20	no direction
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	0	0	0.0455	AK7	no direction
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0	0	0.0787	FOS, IKBKE, JUN, NFKB2, NFKBIA, RASD1, RRAS	no direction
Regulation of eIF4 and p70S6K Signaling	0	0	0.0701	EIF4EBP3, ITGA3, ITGA6, ITGB2, MAPK13, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS	no direction
Retinoic acid Mediated Apoptosis Signaling	0	0	0.0682	PARP3, RARB, TNFRSF10A	no direction
Role of CHK Proteins in Cell Cycle Checkpoint Control	0	0	0.0545	CDC25A, PPP2R2B, PPP2R5B	no direction
Role of Cytokines in Mediating Communication between Immune Cells	0	0	0.0811	IL1B, IL1RN, IL36G	no direction
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	0	0	0.0476	NFKB2	no direction
Role of MAPK Signaling in the Pathogenesis of Influenza	0	0	0.0789	BAX, CXCL10, MAPK13, PLA2G7, RASD1, RRAS	no direction
Role of NFAT in Cardiac Hypertrophy	0	-0.258	0.0813	ADCY2, CABIN1, CACNA1B, CACNB2, CACNB4, CTF1, HDAC11, IGF1, LIF, MAPK13, NOTUM, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS	negative
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	0	0	0.0667	FOXA2, NR6A1, SALL4	no direction
Role of RIG1-like Receptors in Antiviral Innate Immunity	0	0	0.0909	IKBKE, NFKB2, NFKBIA	no direction
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	0	-2	0.0615	FZD1, FZD8, WNT2, WNT5A	negative
Role of p14/p19ARF in Tumor Suppression	0	0	0.0741	PIK3R1, PIK3R5	no direction
Serotonin Receptor Signaling	0	0	0.0769	ADCY2, MAOB, SMOX	no direction
Sperm Motility	0	0	0.09	BLK, CSF2RA, DDR1, DYRK3, EGFR, EPHB1, ERBB4, FES, FGR, HCK, JAK3, NOTUM, NTRK2, PLA2G7, PRKAG2, PRKAR2B, ROR1, SLC16A10, ZAN	no direction
Spliceosomal Cycle	0	0	0.0227	CTNNBL1	no direction
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	0	0	0.087	IMPA1, INPP5J	no direction
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0	0.192	0.0894	CASP4, CASQ1, CD86, ESR1, FAS, FCER1G, FOS, GNA12, HLA-A, ICOSLG/LOC102723996, JUN, LEPR, NOS2, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RORC, RRAS, SELPLG	positive
T Cell Receptor Signaling	0	0	0.0857	FOS, IKBKE, JUN, NFKB2, NFKBIA, PIK3R1, PIK3R5, RASD1, RRAS	no direction
TCA Cycle II (Eukaryotic)	0	0	0.0435	SUCLG1	no direction
Urate Biosynthesis/Inosine 5'-phosphate Degradation	0	0	0.0769	NT5E	no direction
VEGF Family Ligand-Receptor Interactions	0	1	0.061	FOS, PIK3R1, PIK3R5, RASD1, RRAS	positive
VEGF Signaling	0	0	0.0625	FOXO3, PIK3R1, PIK3R5, PROK1, RASD1, RRAS	no direction
Wnt/β-catenin Signaling	0	-0.277	0.0833	ACVR1B, FRAT1, FRZB, FZD1, FZD8, JUN, PPP2R2B, PPP2R5B, RARB, SOX5, UBD, WIF1, WNT2, WNT5A	negative
mTOR Signaling	0	1.941	0.0909	HMOX1, PIK3R1, PIK3R5, PLD3, Pld6, PPP2R2B, PPP2R5B, PRKAA2, PRKAG2, PROK1, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
nNOS Signaling in Skeletal Muscle Cells	0	0	0.075	CACNA1B, CACNB2, CACNB4	no direction
tRNA Charging	0	0	0.0263	VARS1	no direction
tRNA Splicing	0	0	0.0732	GDPD1, PDE6H, SMPDL3B	no direction
α-Adrenergic Signaling	0	0	0.0645	ADCY2, EPM2A, PRKAG2, PRKAR2B, RASD1, RRAS	no direction
