analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	LEPR	1.714	transmembrane receptor	0	0.084	0	0.038	-0.046	2.42e-06	ADAM8, ANGPTL4, ANXA5, APOA4, Ccl2, CCL3L3, CD68, FASN, GADD45B, GFAP, Gk, IL18BP, IL1R2, IL1RN, ITGAM, LCN2, LDLR, LEPR, LGMN, MAP4K4, MBP, MMP12, MMP19, MMP2, Mup1 (includes others), PPARA, SELE, SERPINE1, SLC2A4, SOCS3, SREBF1, TIMP1, TSC22D3
ndr_vs_wt_all - 2020-11-20 05:39 PM	RGS2	0.52	enzyme	0	1.4	0	-0.132	2.059	2.43e-06	ADM, AQP3, BCAR3, BTG2, Cdkn1c, CEBPD, CXCL12, DECR1, EVA1A, FABP2, FABP4, GLA, GRINA, HADH, HBEGF, HSD11B1, IGFBP3, ITM2A, MARCO, MORC4, OSTF1, PLAT, PSTPIP1, SLC16A3, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NOD2	0.049	other	Activated	3.226	0	0.234	2.361	2.79e-06	ACOD1, ACSL1, CLEC4E, CLEC5A, CXCL10, CXCL2, CXCL3, GPR84, ICAM1, IL1B, MEFV, NFKB2, NFKBIA, NOS2, RALGDS, SLC2A6
ndr_vs_wt_all - 2020-11-20 05:39 PM	ESR1	-1.469	ligand-dependent nuclear receptor	0	1.979	0	0.082	1.515	3.21e-06	9830107B12Rik/A530064D06Rik, ABCC3, ABCG5, ABCG8, ACE, ACSL1, ALOX5AP, AREG, Cdkn1c, CLDN2, Clec2d (includes others), CYP17A1, CYP2E1, Cyp2j5, EGR1, ESR1, FOS, FOSB, G6PD, GDF15, GLDN, GREB1, GRIA2, HMGCS2, IGF1, IL1B, INMT, INSL3, LBP, LCN2, LEPR, LIFR, LTF, NOS2, RORC, Scd2, SLC13A4, SLC2A4, SLC4A5, STAT5A, SULT1C2, TTR, UGT2B28, UGT2B7
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFT88	0.014	other	Inhibited	-2.039	0	-0.061	-1.848	3.57e-06	ACLY, CEBPB, CYP51A1, EPS8L2, FABP4, FOXA2, HMGCR, HMGCS1, IDI1, LSS, MVD
ndr_vs_wt_all - 2020-11-20 05:39 PM	LGR5	-0.285	transmembrane receptor	Inhibited	-2.55	0	0.181	-3.117	3.74e-06	AHR, CYP1A2, CYP2E1, GLUL, HSD17B13, LECT2, SLC13A3, SLC16A10, SLC1A2, SLC22A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LCN2	3.171	transporter	0	1.388	0	0.073	1.09	3.75e-06	CAPG, Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CCR1, CXCL10, CXCL2, CXCL3, ESR1, FASN, GFAP, IL1B, IL1RN, LDLR, MIF, NOS2, RARB, TAGLN2
ndr_vs_wt_all - 2020-11-20 05:39 PM	SMARCA5	0.015	transcription regulator	0	-1.604	0	-0.138	-0.864	3.76e-06	AHR, ALOX5AP, BAX, BLK, CD53, CELSR1, DYRK3, ENC1, ESM1, FAS, FKBP5, GBP6, GM2A, Gm4737, GRIA3, HLA-A, IL17RB, Ly6a (includes others), MPZL2, PHLDA3, PLAC8, RAB44, RASGRP4, SERPINB1, SNX10, SPIB, SYNGR1, TMEM176B, TUBB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	LDB1	0.123	transcription regulator	0	-0.515	0	-0.005	-0.482	3.81e-06	ABCB10, ACOX2, ACVR1B, AHR, ANXA1, CARD9, CASP4, CAT, CCR2, CD53, CD79B, CLDN2, CLDN4, CLEC4E, CSF2RA, ENO2, EPB42, FES, FRZB, GOLM1, GSN, ICOSLG/LOC102723996, Ifitm1, IL1RAP, KCTD17, LGALS1, MAP3K8, MFGE8, MGLL, MPO, MRTFA, MYH10, MZB1, NFE2, NT5E, PLSCR1, PSTPIP1, RPS6KL1, SAMSN1, SLC40A1, SMOX, SPI1, STAT5A, TAL1, TES, TLE6, TLR2, TNFAIP3, TNFRSF10A, TNS2, TPD52
ndr_vs_wt_all - 2020-11-20 05:39 PM	LRP1	-0.033	transmembrane receptor	0	-1.739	0	-0.077	-1.469	4.02e-06	ABCG5, ABCG8, Ccl2, CCL3L3, CD14, CD68, CTSD, IL1B, MMP2, NOS2, SERPING1, SLC2A3, SLC2A4, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	MED13	-0.045	transcription regulator	0	-0.653	0	-0.143	-0.158	4.02e-06	AACS, ACSM3, CIDEA, CIDEC, CLSTN3, CYP2A6 (includes others), ELOVL6, FASN, HMGCR, NTRK2, PCSK9, PRKAR2B, SLC2A4, TKT
ndr_vs_wt_all - 2020-11-20 05:39 PM	MEF2D	0.067	transcription regulator	0	1.64	bias	0.258	0.754	4.02e-06	BACH2, BLK, EGR2, FOS, FOSB, GCLC, HMOX1, JUN, JUNB, JUND, NR4A1, SOD3, SRXN1, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	DBI	0.672	other	Activated	2.449	bias	0.258	1.817	4.21e-06	ELOVL6, FASN, HMGCR, LSS, SQLE, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR1I2	-0.044	ligand-dependent nuclear receptor	0	0.438	0	0.048	0.239	4.5e-06	ABCA1, ABCC3, Aldh1a7, APOA4, CAT, Ces2a, CYP2B6, CYP39A1, DHCR7, EGR1, FASN, Gstm3, GSTM5, HMGCS2, INSIG1, JUN, Slco1a4, SREBF1, SULT2A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYP51A1	2.916	enzyme	Inhibited	-2.828	0	-0.139	-2.435	4.73e-06	DHCR24, HMGCR, LSS, MSMO1, NSDHL, SQLE, SREBF2, TM7SF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TREM2	1.979	transmembrane receptor	0	-0.5	0	-0.099	-0.227	4.73e-06	Ccl2, CCL3L3, CX3CR1, CXCL2, IL1B, NFKBIA, TNFAIP3, TREM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SCARB1	-0.003	transporter	Inhibited	-2.388	0	-0.134	-1.932	4.79e-06	ABCA1, ABCG5, ABCG8, CD68, FASN, HMGCR, IL1B, LDLR, SELE, SELP, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	NFkB (complex)	0	complex	Activated	3.024	0	0.184	2.245	4.92e-06	Ccl2, CCL3L3, Ccl7, CD86, CLEC4E, CXCL10, CXCL2, CXCL3, CYBB, FAS, HLA-A, ICAM1, IL1B, ITGAM, LCN2, LIF, NFKBIA, NLRP12, NOS2, SLC16A3, SOCS3, TERT, TIMP1, TLR2, TNFAIP3, TNFSF14
ndr_vs_wt_all - 2020-11-20 05:39 PM	BCL6	0.385	transcription regulator	Inhibited	-2.958	0	-0.127	-2.395	5.04e-06	ABCD3, Acaa1b, ACAT2, BACH2, BAX, BCL3, Ccl2, CCL3L3, Ccl6, Ccl7, CPT1B, CXCL3, DECR1, ENTPD1, GOLM1, GPX4, GSTM5, IL1B, JUNB, LDHB, LDLR, LMNA, LPIN1, Ly6a (includes others), PDCD4, PI4K2B, RWDD3, SCP2, SLC39A8, SMPDL3B, STAT6, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPK14	-0.019	kinase	0	-0.319	0	0.096	-0.761	5.87e-06	ABCA1, AREG, BAX, CAT, Ccl2, Ccl7, CXCL10, CYP51A1, DUSP1, EGFR, FAS, FASN, FDPS, HMGCR, IL1B, JUN, NOS2, Slfn1, SLFN12L, Slfn2, SREBF1, SREBF2, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	SREBF2	0.668	transcription regulator	Activated	2.039	bias	0.258	1.279	6.36e-06	ELOVL6, FASN, FDFT1, HMGCR, HMGCS1, INSIG1, LDLR, MVK, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SRSF2	-0.029	transcription regulator	Inhibited	-2.53	0	0.135	-2.958	6.54e-06	AKR1D1, BAAT, CES1, FOXA2, HSD3B7, Nnt, PPARA, PPP1R15A, SREBF1, TNFRSF10A
ndr_vs_wt_all - 2020-11-20 05:39 PM	EPAS1	-0.014	transcription regulator	0	0.124	0	0.098	-0.195	6.89e-06	ACLY, ARG2, CAT, CCR2, CEBPB, CXCL2, CYP51A1, DGAT2, FABP4, FASN, HMGCS1, LDLR, MIF, NEU3, SLC2A4, SLC40A1, SLC7A5, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	AMBP	0.001	transporter	0	-1.446	0	-0.155	-1.105	7.02e-06	Ccl2, CXCL2, CXCL3, IL1B, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	BCL3	0.912	transcription regulator	Inhibited	-3.4	0	-0.148	-2.898	7.3e-06	CD86, CXCL10, CXCL2, CXCL3, DUSP5, EGR1, EGR2, FOS, ICAM1, IL1B, NFKBIA, NR4A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TREM1	1.866	transmembrane receptor	Activated	2.599	0	0.217	1.9	7.3e-06	Ccl2, CD14, CEBPB, CXCL10, CXCL3, EGR2, IL1B, IL6R, NFKB2, NFKBIA, PGLYRP1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	Vegf	0	group	0	-1.199	0	-0.047	-0.994	7.58e-06	Acot1, ACOT2, Akr1c14, BTN1A1, CIDEA, CLDN1, Ctla2a/Ctla2b, FST, GATA1, HDC, HMGCS2, HOPX, IGFBP3, LCN2, MAOB, MIF, PDK4, PPP1R1B, SHISA2, Sult1d1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL1A	0.069	cytokine	Activated	2.926	0	0.153	2.35	7.67e-06	BAX, Ccl2, CXCL10, CXCL2, CXCL3, CYP17A1, CYP1A2, CYP2E1, IL1B, LCN2, NFKBIZ, S100A8, SERPINA3, TIMP1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	NOS2	4.891	enzyme	0	1.679	0	0.011	1.618	7.9e-06	BAX, Ccl2, CCL3L3, Ccl7, CD14, CD53, CHI3L1, CLEC4D, COX7A1, CP, CSF3R, CXCL2, CXCL3, CYP2E1, FABP4, FASN, G6PD, IL1B, IL1RN, KLF6, LCN2, LILRB4, NOS2, Orm1 (includes others), PERP, PLSCR1, Saa3, SERPINA3, SLC40A1, SLFN12L, Slfn2, TKT, TYROBP
ndr_vs_wt_all - 2020-11-20 05:39 PM	CCR5	-0.033	g-protein coupled receptor	0	0.933	0	0.081	0.644	8.01e-06	BAX, Ccl2, CCL3L3, CXCL10, CXCL12, CXCL2, CXCL3, FAS, IL1B, NOS2, SERPINA1, SLPI, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	MTORC1	0	complex	0	1.564	0	0.204	0.88	8.07e-06	AHR, FASN, FDPS, HMGCR, IDI1, INSIG1, KLF4, MBP, NOS2, PFKP, PKM, RORC, SLC2A4, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	SMAD3	-0.032	transcription regulator	Activated	3.409	0	0.116	2.856	8.11e-06	ALPL, AREG, Ccl2, CCL20, CCL3L3, CDKN2B, CES1, CXCL10, CXCL3, CYP51A1, ESR1, FDFT1, FOS, FST, HBEGF, HP, IL1B, JUN, JUNB, JUND, Ly6a (includes others), MXD1, Orm1 (includes others), S1PR1, SERPINE1, SLC51B, TERT, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOLR1	0.091	transporter	0	0	0	0	0	8.72e-06	ADA, ALDOC, AQP4, ARHGDIB, ASPA, BIRC3, CAT, Cd52, CD9, CYP4F8, FBXO3, LAMB2, LYZ, NPHP1, NSDHL, PDCD4, PRLR, S100A4, ST3GAL3, STXBP2, TAGLN2, TNFRSF11A, TPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MET	-0.436	kinase	0	1.606	0	0.137	0.967	9.13e-06	BMF, CCL3L3, Ccl7, CLDN1, CLDN23, COL5A2, ESR1, GCLC, HBEGF, HDC, Hspa1b, IGF1, IL15RA, LAMA3, MMP2, NFKBIZ, PERP, PTPRT, SLCO3A1, SOCS3, TGIF1, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATG7	0.028	enzyme	0	-1.479	0	0.041	-1.637	9.3e-06	ACACB, ACAT1, ACLY, ACSL1, CYP2A6 (includes others), GSTM5, HK1, IKBKE, IL1B, MARCO, NFKBIA, PLIN3, SOCS3, SREBF1, SREBF2, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	RNF31	0.062	enzyme	Inhibited	-2.673	bias	-0.258	-1.706	9.3e-06	Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CXCL10, CXCL2, CXCL3, IL15RA, IL18BP, IL18RAP, IL1B, IL1R2, IL1RN, IL36G, IL6R
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADAM12	0.105	peptidase	0	-0.268	0	-0.07	0.041	9.48e-06	ADAMTS15, AEBP1, Ccl2, Ccl7, CEBPB, COL5A2, COL5A3, CX3CL1, DCN, GDF15, IGFBP3, IGFBP5, JUNB, LAMA5, Nrg1, OLR1, PARM1, SERPINE1, SVEP1, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	VDR	0.049	transcription regulator	0	1.811	0	0.081	1.347	9.97e-06	ABCC3, ACE, BAX, Ccl2, CEBPB, Clec2d (includes others), CXCL10, EGFR, EGR1, ICAM1, IER3, IGFBP3, IGFBP5, IL1RN, LDLR, LGALS1, NEDD9, NGF, NUPR1, RELB, RGCC, S100A8, S100A9, S100G, SELE, SERPINA1, SERPINB6, SLC34A2, SLC51B, SOCS3, SREBF1, STAT4, TK1, TLR2, WSB1, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	EGF	-0.304	growth factor	0	1.664	0	0.074	1.46	1.01e-05	ACOT2, ACSL4, CLU, CTSD, EGFR, FOS, LTF, Nrg1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NKX3-1	0	transcription regulator	0	0	0	0	0	1.04e-05	BTG2, CA3, CTNNBL1, CTSZ, CX3CR1, FES, FOS, FOXO3, IGFBP3, MMP23B, PIK3R1, PIM1, SDC1, VIL1, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOXO1	-0.136	transcription regulator	0	0.111	0	0.096	-0.49	1.05e-05	ACLY, ATP6V0A1, BACH2, BAX, BLNK, CAT, CCL20, CD79B, Cdkn1c, CDKN2B, ELOVL5, ELOVL7, FABP4, FASN, FOS, FOSB, FOXA2, FST, Gk, GPX3, IGF1, IGFBP1, ITGAM, ITGB2, JUNB, KLF4, LEPR, NAMPT, PDK4, PNPLA2, Prg4, PRKAA2, PTPRB, S1PR1, SELL, SERPINB1, SLC2A4, SOX5, SREBF2, STAT5B, TNFRSF11A
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSF1	0.246	cytokine	Activated	2.698	0	0.134	2.078	1.12e-05	Ccl2, Ccl7, CCR1, CD9, CFP, CLEC7A, CTSD, CXCL3, CYBB, CYP17A1, EGR2, FOS, GPNMB, HLA-A, ICOSLG/LOC102723996, IL1B, ITGAM, JDP2, NCF2, SPI1, SYNGR1, TNFRSF11A
ndr_vs_wt_all - 2020-11-20 05:39 PM	ABCB6	-0.018	transporter	0	-1.147	0	0.006	-1.17	1.12e-05	CYP1A2, Cyp2a12/Cyp2a22, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), Cyp2d9 (includes others), CYP39A1, Cyp3a25 (includes others), CYP4F2, HAGH, HK1, HMBS, KLF1, SLC25A37
ndr_vs_wt_all - 2020-11-20 05:39 PM	SREBF1	-1.498	transcription regulator	Activated	2.06	0	0.205	1.425	1.15e-05	ABCA1, ACACB, ACLY, ACSL1, DPY19L3, ELOVL6, FASN, G6PD, HMGCR, PLTP, SERPINE1, SREBF1, ULK2
ndr_vs_wt_all - 2020-11-20 05:39 PM	SOCS6	-0.024	other	0	0.333	0	0.057	0.161	1.17e-05	Ccl7, CEBPD, CXCL2, CXCL3, HBEGF, IL1B, MARCO, PLAT, RGCC
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTGER4	0.012	g-protein coupled receptor	Inhibited	-2.464	0	-0.074	-2.081	1.18e-05	ADAMTS4, Ccl2, CCL20, CCL3L3, Ccl7, CP, Ctla2a/Ctla2b, CXCL10, CYBB, GBP6, HAVCR2, HCAR2, IFI16, Igtp, IL1B, Irgm1, ISG20, MAFF, MMP2, NCF1, NCF2, NOS2, OLR1, PDCD4, RSAD2, S1PR1, Serpinb6b, SHISA3, SLC13A3, TAGLN2
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFNLR1	1.259	transmembrane receptor	0	0	0	0	0	1.54e-05	ATF3, CCL20, CCL3L3, CLEC4D, CLEC4E, CXCL10, CXCL2, CXCL3, IL1B, LIF, OASL, RSAD2, TLR2, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLCE1	-0.008	enzyme	Activated	2.412	bias	0.258	1.789	1.55e-05	Ccl2, CCR2, CXCL2, CXCL3, CXCR2, GFAP
ndr_vs_wt_all - 2020-11-20 05:39 PM	CD38	-0.004	enzyme	Activated	4.575	0	0.244	3.23	1.59e-05	ALDOA, ALDOC, ANXA2, ASNS, CHST12, CSF2RB, GLIPR2, GSTT2/GSTT2B, IFI30, IL1R2, IL6R, LGALS3, LGALSL, PFKP, PIM1, PKM, PSAT1, PYCR1, RBPMS, S100A4, S100A6, Scd2, SELL, Serpina3g (includes others), SLC16A3, SLC39A8, SLC7A5, SOCS3, TMEM97, TPI1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL17A	0	cytokine	Activated	4.249	0	0.178	3.495	1.84e-05	Ccl2, CCL20, Ccl7, CX3CL1, CXCL10, CXCL2, CXCL3, HBEGF, HSPB8, ICAM1, IL1B, LCN2, LOX, MPO, NFKBIZ, NOS2, RGS16, S100A8, S100A9
ndr_vs_wt_all - 2020-11-20 05:39 PM	TCF3	-0.046	transcription regulator	0	0.378	0	0.105	-0.176	1.84e-05	ADA, ATF3, BACH2, BLNK, C15orf39, CCR2, CD79B, Clec2d (includes others), CTSE, CXCR6, ENTPD1, EPB42, FKBP11, GATA1, GFI1B, HSD11B1, IFI16, IL18R1, IL18RAP, JUN, KCNN4, KLF4, KLF6, LILRB4, Ly6a (includes others), MYL4, MZB1, PLAC8, PTDSS1, S1PR1, SELL, Serpina3g (includes others), SERPINB1, SLC66A3, SPC25, SUB1, TENT5C, VSIR, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	HOXA10	0	transcription regulator	0	-1.348	0	-0.123	-0.772	1.85e-05	ADM, ALPL, CA3, Cdkn1c, CDKN2B, CSF3R, CYP2E1, FST, GATA1, HLF, HMGCR, IGFBP3, INMT, LCN2, LEPR, LTF, MICOS10-NBL1/NBL1, MYLK, NR4A1, PIK3R1, REM1, RNASE4, Scd2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ACACB	1.439	enzyme	Inhibited	-2.157	0	-0.184	-1.64	1.99e-05	ACLY, FASN, HMGCR, MVD, PPARA, SLC2A4, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CCL5	-0.006	cytokine	Activated	2.794	bias	0.258	2.073	1.99e-05	CCL3L3, CCRL2, CXCL2, CXCL3, GFAP, IL1B, ITGAM, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFNB1	0	cytokine	0	-0.652	0	0.11	-1.111	2.04e-05	ACOD1, Ccl2, Cd24a, CD86, CLEC4E, Ctla2a/Ctla2b, CX3CL1, CXCL10, CXCL2, CXCL3, FOS, GBP6, HMGCR, HMGCS1, ICOSLG/LOC102723996, IDI1, IFI16, Ifi27l2a/Ifi27l2b, Ifitm1, Igtp, IL1B, Irgm1, ISG20, MCM10, NNMT, NOS2, NPTX1, PDK4, RNASE4, RSAD2, SQLE, Tlr13, TNFRSF10A
ndr_vs_wt_all - 2020-11-20 05:39 PM	CASP1	0.204	peptidase	0	1.404	0	0.143	0.948	2.16e-05	Ccl2, CXCL2, FASN, IL1B, MLKL, NOS2, PPARA, RIPK3, SREBF1, SREBF2, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	PML	-0.176	transcription regulator	Inhibited	-2.194	0	-0.112	-1.714	2.22e-05	ACACB, ACSL4, CDKN2B, CEBPE, CIT, CPT1B, ELOVL6, FASN, FTL, HMGCR, HMGCS1, HMOX1, HSD17B7, IDI1, IL1B, LDLR, PDK4, SREBF1, SREBF2, TXNRD1
ndr_vs_wt_all - 2020-11-20 05:39 PM	HMOX1	1.346	enzyme	0	-1.32	0	-0.102	-0.974	2.3e-05	Ccl2, CXCL10, GPX3, HMOX1, ICAM1, IL1B, IL1RN, NCF1, NOS2, RORC, SELE, TNFSF14
ndr_vs_wt_all - 2020-11-20 05:39 PM	IRS2	-0.016	enzyme	0	0.476	0	0.016	0.424	2.3e-05	ACLY, EGR1, FABP4, FASN, FOS, FST, GCKR, HMGCR, HMOX1, IGFBP1, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PKD1	-0.026	ion channel	Inhibited	-3.452	0	-0.051	-3.145	2.43e-05	ABCB4, ABCG2, ACOT2, ACOX2, ATP1B2, Ccl2, CLCF1, CXCL2, EGFR, EMILIN1, F13B, F2RL2, FOSB, GLDN, HBEGF, IFNLR1, IL17RB, ITIH2, KLKB1, KRT18, LOX, MCUB, NAPSA, NEDD9, NNMT, Nrg1, PRLR, PRODH2, RASSF6, SFXN3, SLC2A9, SLC4A1, SSTR2, TNFAIP8, TREH, TTR, VWF, ZFHX4
ndr_vs_wt_all - 2020-11-20 05:39 PM	GATA4	-0.071	transcription regulator	Activated	2.166	0	0.041	1.982	2.64e-05	CDKN2B, CYP17A1, EPHB1, EPOR, ESPN, FRZB, GATA1, GPI, HAO2, HK1, HSD3B1, IGFBP5, INMT, LCN2, LRG1, Orm1 (includes others), PFKP, SERPINA3, Serpina3g (includes others), SERPINA5, TAL1, TCAF1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT5A	-0.615	transcription regulator	0	-1.357	0	0.003	-1.37	2.79e-05	ABCA1, BAX, BIRC3, CASP4, Ccl2, CCL3L3, CEBPB, Ctla2a/Ctla2b, Cyp2b13/Cyp2b9, DUSP5, EPOR, FABP4, FAS, FOS, FOSB, Ifitm1, IGF1, IL6R, PIM1, SLC34A2, SOCS3, SREBF1, STAT5A, STAT5B, TNFRSF11A, TNFRSF1A, TNFRSF9, TNNT1, TRAF4, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	CREBBP	-0.032	transcription regulator	0	-0.324	0	0.054	-0.516	3e-05	AKAP12, CAPG, CD53, CST7, CTSG, CXCL12, DUSP1, EGR1, EGR2, ELANE, FABP4, FDX1, FOS, FOSB, GFI1B, GM2A, GRIA2, GRIA3, GRIN3B, HDAC11, HMGCS2, HSD11B1, IL18R1, IL18RAP, IRF6, ITGA6, JUN, JUND, MAP3K8, MPO, MYO1F, NR4A1, PIPOX, PITPNM1, RAPGEF4, RNF39, RSAD2, SCN4B, SDC1, SELP, SOCS3, STAT4, TLE6, TNFAIP3, TNFAIP8L2, TUBA8
ndr_vs_wt_all - 2020-11-20 05:39 PM	C3	0.3	peptidase	Activated	2.86	0	0.146	2.343	3.2e-05	C5AR1, CASP4, Ccl2, CCL3L3, CXCL10, CXCL2, CXCL3, IL1B, ITGAM, LCN2, NOS2, SELL, TIMP1, TNFRSF1A, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPKAPK2	0.346	kinase	0	1.909	0	0.142	1.366	3.2e-05	Ccl2, CCL3L3, Ccl7, CEBPD, CXCL10, CXCL2, CXCL3, HDC, HSPB8, MARCO, NFKBIA, PLAT, STAT5A, TSC22D1, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	ALOX15	0.077	enzyme	0	0.437	0	0.077	0.207	3.39e-05	ABCA1, Ccl2, CXCL2, HMOX1, ICAM1, IL1B, JUN, MMP2, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFN alpha/beta	0	group	Activated	2.147	0	0.174	1.46	3.45e-05	BAX, CCR2, CCRL2, CD86, CX3CL1, HLA-A, IFI16, Ifi27l2a/Ifi27l2b, ITGA2B, Ly6a (includes others), LY6E, Rhox5, RSAD2, SLPI, TREM1, TREM3
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRAF3IP2	-0.21	other	Activated	3.523	0	0.216	2.655	3.56e-05	ACE, Ccl2, Ccl7, CCR2, CX3CL1, CXCL2, CXCL3, ICAM1, IL1B, LCN2, MMP2, NFKBIZ, NOS2, SELP, STEAP4, TNFRSF12A, TRAF4
ndr_vs_wt_all - 2020-11-20 05:39 PM	PNPLA2	0.695	enzyme	0	0.12	0	0.076	-0.167	4.14e-05	Acot1, ACOT2, ACSL1, Ccl2, CD68, CPT1B, DGAT2, FABP4, FASN, Gk, Gstm3, PDK4, PNPLA2, PPARA, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	EIF4E	-0.01	translation regulator	Activated	2.025	0	0.086	1.673	4.23e-05	ADAMTS15, ADAMTS16, ARL11, Ccl2, Cd52, CLEC7A, CTSZ, CX3CR1, CYBA, CYBB, HLA-A, IFI16, Ifi27l2a/Ifi27l2b, LYZ, NFKBIA, SELPLG, SLC11A1, SLCO2B1, VSIR
ndr_vs_wt_all - 2020-11-20 05:39 PM	CA4	0	enzyme	Inhibited	-2.53	0	-0.217	-1.844	4.28e-05	ANK1, CA1, HEMGN, KEL, Ngp, RHCE/RHD, SLC10A6, SLC4A1, SPTB, TMC5
ndr_vs_wt_all - 2020-11-20 05:39 PM	LDL	0	complex	Activated	2.219	bias	0.258	1.646	4.28e-05	Ccl2, Ccl7, ICAM1, IL1B, OLR1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FECH	0.011	enzyme	0	0	0	0	0	4.61e-05	APOA4, Ccl2, CYP1A2, Cyp2b13/Cyp2b9, CYP2B6, Cyp2d26, Cyp2d9 (includes others), CYP2E1, Cyp3a25 (includes others), CYP51A1, HMOX1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LIF	3.999	cytokine	Activated	2.632	0	0.026	2.516	5.82e-05	AREG, Ccl2, CCL3L3, CD9, CEBPB, CXCL10, CXCL2, CYP17A1, ELF3, FOXA2, HBEGF, IGF1, IL1B, RHOU, SOCS3, TAL1, TMEM176A, TMEM176B, VWF, WT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PI3K (complex)	0	complex	0	1.35	0	0.185	0.62	5.82e-05	ABCA1, Ccl2, CCR1, CXCL10, CYBB, DUSP1, GCLC, GSTM5, HMOX1, IL1B, IL1RN, ITGA6, MMP12, NFKB2, NOS2, PPP1R1B, SPI1, SREBF1, TREM1, WT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATF3	1.971	transcription regulator	0	-0.217	0	-0.129	0.225	6.22e-05	CD83, CX3CL1, GBP6, ICAM1, JUN, NFKBIZ, NOS2, PPP1R15A, RSAD2, SLC15A3, SPRR1A, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERBB2	0.312	kinase	Activated	2.55	0	0.228	1.835	6.25e-05	ABCG2, AREG, BIRC3, CDC25A, CDKN2B, CYP51A1, EGFR, EHF, ELF3, HBEGF, HMGCR, IDI1, ITGA6, LSS, PMVK, PPP2R2B, SNAI2, SQLE, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	APEX1	0.036	enzyme	Activated	2.63	0	0.194	2.12	6.34e-05	EGR1, EGR2, FOS, FOSB, HTRA1, JUNB, NR4A1, RGS2
